gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,adult,green,unknown,white,4.578207809647907,snub,pointed,no,smooth,mixed,no,0.6292654355428465,lithe,9.17645657481518,4,no,yes,short,pointed,fluted,Arctic,3,81.13217204565471,no,no,yes,WX,2001,Amazonian Blue
unknown,adult,blue,yellow,white,6.8481847377417,snub,pointed,no,smooth,scaled,no,0.5157839214580037,lithe,14.283841883037791,4,no,no,short,pointed,fluted,Brazil,1,178.44371567165146,no,no,no,TR,1999,Amazonian Blue
male,elder,green,orange,silver,0.0,snub,pointed,no,smooth,mixed,no,0.4967266484546197,lithe,11.90476109495537,4,no,yes,none,pointed,fluted,Argentina,2,172.4399029020373,no,no,no,AB,1983,Amazonian Blue
female,juvenile,green,red,grey,2.193925234930513,snub,pointed,no,smooth,scaled,no,0.3584522576020473,lithe,6.419092518326701,4,no,no,none,pointed,fluted,Peru,1,70.71859322433718,no,no,yes,LM,1982,Amazonian Blue
female,unknown,blue,yellow,grey,5.0458072168120935,snub,pointed,unknown,smooth,scaled,no,0.9060236056458121,lithe,8.082597231529084,4,no,no,none,pointed,fluted,Argentina,2,89.87967865914263,no,no,no,AB,1957,Amazonian Blue
male,adult,grey,orange,grey,0.0,snub,pointed,partial,unknown,mixed,no,0.3468093597887987,lithe,0.0,4,unknown,yes,short,pointed,fluted,Peru,1,0.0,no,no,yes,LM,1975,Amazonian Blue
female,juvenile,blue,red,silver,2.428355005011672,snub,pointed,full,unknown,mixed,no,0.5099778877610192,lithe,4.232854618308444,4,no,no,none,none,fluted,Brazil,1,67.19178529721424,no,no,yes,FF,1972,Amazonian Blue
female,adult,green,orange,green,8.286696166300569,snub,pointed,unknown,smooth,mixed,no,0.7212024571029658,lithe,16.976083071447142,4,no,no,short,pointed,fluted,Central America,2,175.7570475845155,no,no,yes,TR,1963,Amazonian Blue
unknown,adult,green,yellow,blue,3.7892854213116016,snub,pointed,no,smooth,mixed,no,0.4206500217984206,lithe,6.762363783196793,4,no,no,none,pointed,fluted,Open Ocean,1,76.325339126562,no,no,no,NN,1996,Amazonian Blue
female,juvenile,blue,amber,green,3.769608243573944,snub,pointed,full,unknown,scaled,no,0.6477068593553443,lithe,7.484012704556333,4,no,no,unknown,none,fluted,Argentina,1,135.29819041748402,no,no,yes,LM,2022,Amazonian Blue
unknown,adult,white,amber,white,4.668410549644345,snub,pointed,no,smooth,scaled,no,0.8260867024862967,lithe,0.0,4,no,no,none,none,fluted,Arctic,1,0.0,no,no,yes,BR,2003,Amazonian Blue
male,adult,grey,red,green,3.7488937690244284,snub,pointed,no,smooth,scaled,no,0.33263410064516125,lithe,9.212714493501268,4,no,yes,short,none,fluted,Open Ocean,1,109.70969798503347,no,no,no,WX,2023,Amazonian Blue
male,adult,blue,red,blue,3.2701920194229377,snub,pointed,full,unknown,unknown,no,0.0,lithe,6.701841353056075,4,no,yes,short,none,unknown,Central America,1,80.02349373499193,no,no,no,OK,1990,Amazonian Blue
