gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,adult,grey,yellow,blue,5,snub,serrated,yes,smooth,scaled,no,0,lithe,14.101649581700505,2,no,yes,medium,pointed,fluted,Open Ocean,8,63.764063776505125,yes,no,no,CT,1981,Canadian Sailwing
xis,juvenile,silver,blue,grey,0,square,serrated,yes,smooth,scaled,no,0,lithe,5.304351992548793,2,no,no,long,pointed,pointed,Greenland,9,71.84938511387975,yes,no,yes,BR,1979,Canadian Sailwing
female,unknown,grey,blue,grey,8,square,serrated,yes,smooth,scaled,no,0,lithe,29.242722796970334,2,no,no,long,twisted,fluted,Arctic,7,0.0,yes,no,no,NR,1985,Canadian Sailwing
female,adult,silver,yellow,grey,10,snub,serrated,yes,smooth,scaled,no,1,lithe,29.42928418936529,2,no,yes,long,twisted,fluted,Open Ocean,7,57.87899784055459,yes,no,yes,OH,2017,Canadian Sailwing
female,juvenile,silver,orange,blue,4,square,serrated,yes,smooth,scaled,no,0,lithe,12.253826692343472,2,no,no,long,pointed,pointed,Open Ocean,0,58.764481071149035,yes,no,no,BR,1986,Canadian Sailwing
male,adult,grey,yellow,blue,7,snub,serrated,yes,smooth,scaled,no,0,lithe,11.851967146974932,2,no,yes,medium,pointed,fluted,Greenland,10,63.42639451738212,yes,no,yes,SX,1975,Canadian Sailwing
male,juvenile,silver,yellow,blue,0,square,serrated,yes,smooth,scaled,no,0,lithe,0.0,2,no,no,long,pointed,pointed,Canada,9,70.103156490858,yes,no,no,TX,2002,Canadian Sailwing
male,juvenile,grey,orange,grey,2,snub,serrated,yes,smooth,scaled,no,0,lithe,6.320688979683044,2,no,no,long,pointed,pointed,Canada,8,70.05513987654874,yes,no,no,WX,2005,Canadian Sailwing
male,adult,blue,multicolored,blue,7,square,serrated,yes,smooth,scaled,no,1,lithe,18.65579681493642,2,no,yes,long,twisted,fluted,Open Ocean,10,0.0,yes,no,yes,U,1988,Canadian Sailwing
male,juvenile,grey,orange,blue,2,square,serrated,yes,smooth,scaled,no,0,lithe,7.379254798454889,2,no,no,long,pointed,pointed,Greenland,7,62.34295283231091,yes,no,no,KN,2009,Canadian Sailwing
unknown,juvenile,mottled,orange,blue,8,square,serrated,yes,smooth,scaled,no,1,lithe,17.627963650677586,3,no,no,medium,pointed,pointed,Open Ocean,6,61.196240700676555,yes,no,no,TR,1999,Canadian Sailwing
female,juvenile,white,yellow,blue,0,snub,serrated,yes,smooth,scaled,no,0,lithe,19.501166905217904,2,no,no,long,twisted,pointed,Arctic,8,59.11546358852696,yes,no,yes,VM,1987,Canadian Sailwing
female,elder,blue,orange,grey,13,snub,serrated,yes,smooth,scaled,no,1,lithe,33.671810142060515,2,no,yes,medium,pointed,fluted,Greenland,7,50.173204156407714,yes,no,yes,BR,1986,Canadian Sailwing
xis,elder,white,yellow,blue,0,square,serrated,yes,smooth,scaled,no,2,lithe,43.36610178859741,2,yes,yes,long,pointed,fluted,Arctic,0,61.43250739082,yes,no,no,OH,1991,Canadian Sailwing
female,juvenile,white,orange,blue,3,square,serrated,yes,smooth,scaled,no,0,lithe,9.496383412494707,2,no,no,medium,twisted,pointed,Open Ocean,5,60.78009358718867,yes,no,no,TR,1983,Canadian Sailwing
female,juvenile,blue,orange,blue,0,square,serrated,yes,smooth,scaled,no,0,lithe,10.044424441661633,2,no,no,long,twisted,pointed,Open Ocean,7,58.61535307303762,yes,no,no,NN,2002,Canadian Sailwing
male,juvenile,grey,multicolored,blue,4,square,serrated,yes,smooth,scaled,no,0,lithe,10.813264520672323,2,no,no,long,pointed,pointed,Canada,6,0.0,yes,no,no,DR,2007,Canadian Sailwing
