gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
female,adult,gold,yellow,gold,18.88327457053445,pointed,pointed,yes,smooth,scaled,no,2.0177439673039315,lithe,42.73643902646583,2,no,yes,long,pointed,pointed,China,8,66.2636051070051,no,no,no,BR,2001,Chinese Fireball
female,adult,brown,yellow,gold,16.397921400308174,pointed,pointed,yes,smooth,scaled,no,2.553768898996906,lithe,43.99679013526793,1,no,yes,long,pointed,pointed,China,9,68.61103631940527,no,no,no,OH,1989,Chinese Fireball
female,adult,gold,yellow,gold,18.5619778479698,pointed,pointed,yes,smooth,scaled,no,2.3693457177095816,lithe,42.002850613568405,2,no,yes,long,pointed,pointed,China,9,0.0,no,yes,no,SR,1996,Chinese Fireball
female,adult,gold,yellow,gold,24.700712181773614,pointed,pointed,yes,smooth,scaled,no,0.0,lithe,49.41305863978344,2,no,yes,long,pointed,pointed,Vietnam,10,64.7599653159078,no,yes,no,SR,2018,Chinese Fireball
male,elder,gold,yellow,red,16.386672279467376,pointed,pointed,yes,smooth,scaled,no,1.654758213114914,lithe,33.000300702518466,2,yes,yes,long,pointed,pointed,Open Ocean,9,56.513507806130846,no,yes,no,WX,2009,Chinese Fireball
female,elder,brown,yellow,red,13.937130273034269,pointed,pointed,yes,smooth,scaled,no,0.0,lithe,33.33391779726888,2,no,yes,long,pointed,pointed,Philippines,8,62.03119276829432,no,no,no,DR,2008,Chinese Fireball
female,juvenile,pink,amber,pink,9.430111310020706,pointed,pointed,yes,smooth,scaled,no,0.9623840099041894,lithe,20.385341522649266,2,no,no,long,pointed,pointed,China,8,72.73904751001999,no,no,no,SX,2017,Chinese Fireball
unknown,adult,brown,multicolored,gold,17.919873782156053,pointed,pointed,yes,smooth,scaled,no,2.4229207717600425,lithe,45.371379594592895,2,no,yes,long,pointed,pointed,Japan,9,67.9824482257562,no,yes,no,OH,1996,Chinese Fireball
female,elder,gold,amber,red,17.605973976258152,pointed,pointed,yes,smooth,scaled,no,2.235482962726101,lithe,40.93814392112617,2,no,yes,long,pointed,pointed,Australia,7,53.31108572483321,no,no,no,OK,1994,Chinese Fireball
female,juvenile,pink,yellow,pink,6.493853682314977,pointed,pointed,yes,smooth,scaled,no,0.9344804317014658,lithe,18.38698735997228,2,no,no,long,pointed,pointed,China,10,76.40016091274902,no,no,no,NK,2001,Chinese Fireball
female,juvenile,brown,yellow,gold,0.0,pointed,pointed,yes,smooth,scaled,no,0.9796799555282263,lithe,21.299948790972586,2,no,no,long,pointed,pointed,Japan,8,74.9280883666466,no,no,no,NR,2010,Chinese Fireball
male,adult,gold,yellow,red,12.48136362994961,pointed,pointed,yes,smooth,scaled,no,1.74780432130591,lithe,28.03219547486164,2,yes,yes,long,twisted,pointed,China,7,68.50519290173058,no,yes,no,U,1997,Chinese Fireball
female,juvenile,red,yellow,gold,0.0,pointed,pointed,yes,smooth,scaled,no,0.8603553433952349,lithe,19.26996936752719,2,no,no,long,pointed,pointed,China,8,74.29677630613907,no,yes,no,SR,1984,Chinese Fireball
female,adult,red,yellow,gold,20.28153638585578,pointed,pointed,yes,smooth,scaled,no,2.527713050740781,lithe,50.42782761163784,2,no,yes,long,pointed,pointed,Japan,9,68.06665415940432,no,yes,no,BB,1998,Chinese Fireball
female,adult,red,yellow,gold,25.128713601156218,pointed,pointed,yes,smooth,scaled,no,2.661193402690736,lithe,58.66805764544666,2,no,yes,long,pointed,pointed,China,8,57.300541650194695,no,no,no,DR,2005,Chinese Fireball
female,juvenile,red,yellow,red,0.0,pointed,pointed,yes,smooth,scaled,no,1.0329217747437238,lithe,21.78643155854689,2,no,no,long,pointed,pointed,China,8,73.28680771090586,no,yes,no,AB,1999,Chinese Fireball
male,juvenile,gold,yellow,red,6.190161677554733,pointed,pointed,yes,smooth,scaled,no,1.086423137033468,lithe,13.088027404884636,2,no,no,long,pointed,pointed,China,8,72.88948840315973,no,yes,no,NN,2018,Chinese Fireball
female,adult,red,yellow,red,18.350881346089736,pointed,pointed,yes,smooth,scaled,no,2.4154479281898777,lithe,42.06406408772436,2,no,yes,long,pointed,pointed,Japan,9,56.79218383217115,no,yes,no,TR,2014,Chinese Fireball
female,adult,brown,yellow,red,22.002014223515427,pointed,pointed,yes,smooth,scaled,no,2.9866353023053827,lithe,54.030200811310344,2,no,yes,long,twisted,pointed,China,10,61.517484902695394,no,no,no,DR,2001,Chinese Fireball
female,adult,red,amber,gold,22.094806527925037,pointed,pointed,yes,smooth,scaled,no,2.4193495543626575,lithe,52.69496519740697,2,no,yes,long,pointed,pointed,Philippines,10,64.90005690953022,no,no,no,FF,2015,Chinese Fireball
male,adult,gold,orange,red,12.380168858558818,pointed,pointed,yes,smooth,scaled,no,1.2311689242090833,lithe,26.062633963680145,1,yes,yes,long,pointed,pointed,China,8,61.318471922325074,no,yes,no,NR,2020,Chinese Fireball
female,juvenile,red,yellow,red,8.69616238377054,pointed,pointed,yes,smooth,scaled,no,0.9046344851972299,lithe,17.52410238052715,2,no,no,long,pointed,pointed,Philippines,10,65.52330126420607,no,yes,no,TR,2002,Chinese Fireball
female,adult,red,yellow,gold,21.3713168162254,pointed,pointed,yes,smooth,scaled,no,2.300165284133074,lithe,46.75160856950533,2,no,yes,long,pointed,pointed,Japan,10,0.0,no,yes,no,NN,1997,Chinese Fireball
female,adult,red,orange,gold,22.27051512300436,pointed,pointed,yes,smooth,scaled,no,2.6601076363582212,lithe,50.66138748196282,2,no,yes,long,pointed,pointed,Papua New Guinea,10,59.74897608109124,no,yes,no,BR,2015,Chinese Fireball
female,adult,brown,yellow,red,22.601882846827397,pointed,pointed,yes,smooth,scaled,no,3.0104193392713743,lithe,0.0,2,no,yes,long,pointed,pointed,Vietnam,9,63.33338479651814,no,yes,no,NK,1983,Chinese Fireball
male,adult,brown,yellow,red,0.0,pointed,pointed,yes,smooth,scaled,no,2.454424601219933,lithe,29.08937083001268,2,yes,yes,long,pointed,pointed,China,7,0.0,no,yes,no,SX,1994,Chinese Fireball
female,elder,pink,yellow,pink,0.0,pointed,pointed,yes,smooth,scaled,no,3.19340436193626,lithe,47.672644955614466,2,no,yes,long,pointed,pointed,Vietnam,7,60.786063867337596,no,yes,no,WX,2003,Chinese Fireball
female,adult,gold,yellow,red,10.397705125354397,pointed,pointed,yes,smooth,scaled,no,1.4963403809212077,lithe,23.225386534984132,2,no,yes,long,pointed,pointed,China,8,64.99287322759301,no,yes,no,DR,1989,Chinese Fireball
male,adult,gold,yellow,gold,10.063902873178291,pointed,pointed,yes,smooth,scaled,no,1.08113541135154,lithe,21.98783602761666,2,yes,yes,long,pointed,pointed,China,8,68.06526286551812,no,yes,no,FF,2006,Chinese Fireball
male,adult,red,yellow,red,14.384220053195618,pointed,pointed,yes,smooth,scaled,no,2.1313649418558054,lithe,27.87887449475572,1,yes,yes,long,pointed,pointed,China,9,57.69879390725991,no,no,no,CT,1987,Chinese Fireball
female,juvenile,red,yellow,gold,0.0,pointed,pointed,yes,smooth,scaled,no,1.0019737527548365,lithe,0.0,2,no,no,long,pointed,pointed,Open Ocean,10,73.40270776128561,no,yes,no,SR,2007,Chinese Fireball
male,adult,gold,amber,gold,8.692005052878216,pointed,pointed,yes,smooth,scaled,no,0.9685592692756891,lithe,17.903644217325006,2,yes,yes,long,pointed,pointed,Vietnam,7,60.664702297725746,no,yes,no,SX,1981,Chinese Fireball
male,juvenile,gold,amber,red,6.825771477562419,pointed,pointed,yes,smooth,scaled,no,1.3172475463269493,lithe,14.86734402906179,2,no,no,long,pointed,pointed,China,8,75.40351826638607,no,yes,no,NK,2014,Chinese Fireball
male,adult,brown,yellow,gold,7.821878296001289,pointed,pointed,yes,smooth,scaled,no,0.7927079922007935,lithe,17.284821425787506,2,yes,yes,long,pointed,pointed,Japan,9,58.80531846518898,no,no,no,U,2002,Chinese Fireball
female,juvenile,gold,yellow,red,9.506071439483783,pointed,pointed,yes,smooth,scaled,no,1.3012129233835026,lithe,26.684228791710463,2,no,no,long,pointed,pointed,China,10,72.99613696519717,no,yes,no,OK,2023,Chinese Fireball
male,adult,red,amber,gold,10.189105016931606,pointed,pointed,yes,smooth,scaled,no,1.7561895757678045,lithe,23.87513595817446,2,yes,yes,long,twisted,pointed,Philippines,9,60.21877384997459,no,yes,no,LM,1995,Chinese Fireball
female,adult,brown,yellow,red,24.066593012808898,pointed,pointed,yes,smooth,scaled,no,3.401008409636612,lithe,55.399944241311786,1,no,yes,long,pointed,pointed,Philippines,10,58.08549782818883,no,yes,no,AB,1998,Chinese Fireball
male,adult,brown,yellow,gold,10.45898937788372,pointed,pointed,yes,smooth,scaled,no,1.18125006765208,lithe,24.97153658447801,2,yes,yes,long,pointed,pointed,Japan,8,64.12517579273128,no,yes,no,CT,1978,Chinese Fireball
female,juvenile,red,yellow,red,7.681407354437966,pointed,pointed,yes,smooth,scaled,no,0.0,lithe,0.0,2,no,no,long,pointed,pointed,China,10,63.06848137326804,no,yes,no,AB,1998,Chinese Fireball
male,unknown,gold,yellow,red,12.817701390007715,pointed,pointed,yes,smooth,scaled,no,1.9937102127107798,lithe,24.91328750904792,2,no,no,long,pointed,pointed,Philippines,8,0.0,no,yes,no,NR,1998,Chinese Fireball
female,adult,brown,amber,red,14.239749634767454,pointed,pointed,yes,smooth,scaled,no,1.4681407597212048,lithe,28.52973203478839,2,no,yes,long,pointed,pointed,Japan,10,68.4050177519678,no,yes,no,BR,2023,Chinese Fireball
male,juvenile,pink,yellow,pink,3.9658795002658813,pointed,pointed,yes,smooth,scaled,no,0.4915837955161714,lithe,8.591655615978826,2,no,no,long,pointed,pointed,Open Ocean,8,69.49346931228403,no,no,no,NK,2016,Chinese Fireball
male,adult,brown,orange,gold,11.850802924607338,pointed,pointed,yes,smooth,scaled,no,1.9282584894961339,lithe,0.0,2,yes,yes,long,pointed,pointed,Japan,7,58.72562150429773,no,no,no,AB,1993,Chinese Fireball
female,adult,gold,yellow,gold,23.45606033232532,pointed,pointed,yes,smooth,scaled,no,2.617429058493115,lithe,51.35521159809017,1,no,yes,long,pointed,pointed,Japan,10,64.52878555132813,no,yes,no,LM,2010,Chinese Fireball
male,adult,gold,yellow,red,8.65502952014631,pointed,pointed,yes,smooth,scaled,no,1.4801716907072644,lithe,19.738579277295035,2,yes,yes,long,pointed,pointed,Open Ocean,9,56.992752091118575,no,yes,no,SX,2010,Chinese Fireball
female,adult,brown,orange,red,17.522854902680937,pointed,pointed,yes,smooth,scaled,no,0.0,lithe,39.533323935894494,2,no,yes,long,pointed,pointed,Open Ocean,8,67.05699934173803,no,yes,no,DR,2017,Chinese Fireball
female,elder,red,orange,gold,20.900620999333242,pointed,pointed,yes,smooth,scaled,no,2.267061164973447,lithe,38.8791609860895,2,no,yes,long,pointed,pointed,China,7,53.902195943257844,no,yes,no,AB,1984,Chinese Fireball
female,adult,brown,yellow,red,19.433693125945865,pointed,pointed,yes,smooth,scaled,no,3.05156720046745,lithe,0.0,2,no,yes,long,pointed,pointed,Open Ocean,9,0.0,no,no,no,TR,1979,Chinese Fireball
female,juvenile,brown,yellow,gold,7.081161902740019,pointed,pointed,yes,smooth,scaled,no,1.0472526929927077,lithe,19.7178434125862,1,no,no,long,twisted,pointed,Open Ocean,8,0.0,no,yes,no,KN,2022,Chinese Fireball
male,juvenile,red,yellow,red,3.6843057927988547,pointed,pointed,yes,smooth,scaled,no,0.4934092697777838,lithe,9.150092208298618,2,no,no,long,pointed,pointed,China,9,75.63855468217523,no,yes,no,LM,2008,Chinese Fireball
female,adult,brown,orange,gold,22.257387014174714,pointed,pointed,yes,smooth,scaled,no,2.586345512773474,lithe,49.954255747357266,2,no,yes,long,pointed,pointed,China,9,59.10641445896578,no,yes,no,DR,1981,Chinese Fireball
