gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,juvenile,mottled,green,brown,3.7038964748567818,snub,curved,yes,smooth,mixed,no,0.4250080748411839,stocky,4.538545216395707,4,no,no,medium,curved,club,Sweden,7,36.80050267035719,no,no,no,NR,1977,Common Welsh Green
female,adult,bronze,green,bronze,5.7923136093667855,snub,curved,yes,rough,mixed,no,1.124489297199134,stocky,10.531436009494039,4,no,no,long,curved,pointed,Britain,6,38.17376983441478,no,no,yes,NR,2011,Common Welsh Green
female,adult,mottled,multicolored,mottled,6.550756235757224,square,curved,yes,rough,mixed,no,1.4108717683496832,stocky,17.213140900864953,4,no,no,long,curved,pointed,Arctic,6,39.05946190286626,no,no,no,LM,2002,Common Welsh Green
female,elder,brown,red,tan,10.472082349429192,snub,curved,yes,rough,mixed,no,1.7029907802378212,stocky,21.902301888116376,4,no,no,medium,curved,club,Arctic,6,36.87336194963211,no,no,yes,FF,1988,Common Welsh Green
male,elder,white,yellow,white,8.73061948918362,snub,curved,yes,rough,mixed,no,1.365836421533724,stocky,18.515587087952895,4,no,no,medium,curved,club,Arctic,5,45.99956579521975,no,no,no,SR,1956,Common Welsh Green
male,adult,bronze,amber,grey,5.87073559030755,square,curved,yes,rough,mixed,no,1.346792662045113,stocky,12.577804572412067,4,yes,no,medium,curved,pointed,Norway,4,43.797358657342535,no,no,no,NK,1999,Common Welsh Green
male,elder,green,green,bronze,8.477362542889733,snub,curved,yes,rough,mixed,no,1.379100414799625,stocky,16.05189696273877,4,no,no,medium,curved,pointed,Ireland,6,0.0,no,no,yes,BR,1982,Common Welsh Green
male,adult,green,yellow,bronze,9.784916369549851,square,curved,yes,smooth,mixed,no,1.502915745475505,stocky,16.40917606559402,4,no,no,long,curved,pointed,Sweden,4,40.86240720136815,no,no,no,NN,1995,Common Welsh Green
female,elder,brown,multicolored,green,6.219443135006328,square,curved,yes,rough,mixed,no,1.4222126038874054,stocky,19.15046769783366,4,yes,no,medium,curved,pointed,Open Ocean,4,46.29895203611757,no,no,no,BB,2002,Common Welsh Green
male,adult,bronze,amber,bronze,0.0,snub,curved,yes,smooth,mixed,no,1.0656386288218984,stocky,10.360397915911184,4,yes,no,medium,curved,pointed,Scotland,4,41.590508584674495,no,no,no,DR,2013,Common Welsh Green
