gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,elder,gold,amber,red,4.622324968883542,snub,pointed,yes,rough,scaled,no,0.9344353647307413,lithe,10.912675531679778,2,no,yes,long,spiny,pointed,Open Ocean,8,57.678388806433595,yes,yes,no,TX,2002,Egyptian Copperbelly
female,juvenile,bronze,amber,red,1.8146851450585209,snub,pointed,yes,rough,scaled,no,0.5654309827138089,lithe,0.0,2,no,yes,long,spiny,pointed,Libya,10,63.88601445020985,yes,yes,no,OK,1979,Egyptian Copperbelly
xis,juvenile,mottled,red,mottled,0.0,snub,pointed,yes,rough,scaled,no,0.7115578766599858,lithe,6.561260822404329,2,no,yes,long,twisted,pointed,Sudan,10,74.83550556963161,yes,yes,no,OH,1994,Egyptian Copperbelly
male,unknown,gold,yellow,gold,3.4978211422067127,snub,pointed,yes,rough,scaled,no,0.6514857930285484,lithe,3.7714364937620326,2,no,yes,long,twisted,pointed,Egypt,10,0.0,yes,yes,no,WX,1999,Egyptian Copperbelly
male,juvenile,mottled,red,red,2.3499584491609333,snub,pointed,yes,rough,scaled,no,0.6491898849360749,lithe,5.842451312538914,2,no,yes,long,spiny,pointed,Egypt,8,73.41547246468804,yes,yes,no,LM,1996,Egyptian Copperbelly
female,juvenile,copper,red,red,2.6988361100378238,snub,pointed,yes,rough,scaled,no,0.7535386626440949,lithe,5.376484336052598,2,no,yes,long,twisted,pointed,Libya,9,69.28651157863109,yes,yes,no,BR,1970,Egyptian Copperbelly
male,juvenile,bronze,yellow,red,1.324070887842996,snub,pointed,yes,rough,scaled,no,0.41854525670990245,lithe,3.0105898290446524,1,no,yes,long,twisted,pointed,Egypt,8,71.49594469096203,yes,yes,no,DR,1984,Egyptian Copperbelly
male,elder,brown,yellow,red,4.03399227953195,snub,pointed,yes,rough,scaled,no,0.6813183847656495,lithe,8.642992960954887,2,no,yes,long,spiny,pointed,Egypt,8,59.44511114764383,yes,no,no,SR,2004,Egyptian Copperbelly
male,juvenile,red,yellow,red,2.140913563031287,snub,pointed,yes,rough,scaled,no,0.6496363320446122,lithe,4.926691065089814,2,no,yes,long,spiny,pointed,Egypt,9,70.55858915280326,yes,yes,no,NR,1958,Egyptian Copperbelly
male,unknown,red,amber,red,4.657794859103391,snub,pointed,yes,rough,scaled,no,0.6947975805375154,lithe,9.098535142574736,2,no,yes,long,spiny,pointed,Saudi Arabia,10,62.02904401704584,yes,yes,no,SX,1997,Egyptian Copperbelly
unknown,adult,copper,yellow,copper,3.9489897666844516,snub,pointed,yes,rough,scaled,no,0.8371511805716133,lithe,9.27639517198985,2,no,yes,long,twisted,pointed,Egypt,9,56.62166547846794,yes,no,no,TR,1966,Egyptian Copperbelly
male,juvenile,bronze,red,red,1.2825799960520194,snub,pointed,yes,rough,scaled,no,0.3308814355227829,lithe,3.041218098922061,2,no,yes,long,spiny,pointed,Sudan,10,69.72938405180597,yes,yes,no,WX,1980,Egyptian Copperbelly
xis,adult,mottled,yellow,red,6.7549072438520605,snub,pointed,yes,rough,scaled,no,1.2262256917434577,lithe,15.789463945228954,2,no,yes,long,spiny,pointed,Sudan,10,66.20352132140982,yes,yes,no,U,1994,Egyptian Copperbelly
xis,elder,red,yellow,red,6.351324700976202,snub,pointed,yes,rough,scaled,no,1.1533117947819524,lithe,13.729208335206156,2,no,yes,long,twisted,pointed,Ethiopia,9,51.815817397096026,yes,yes,no,CT,2014,Egyptian Copperbelly
male,adult,red,red,red,3.6945306899446115,snub,pointed,yes,rough,scaled,no,0.6403808241899779,lithe,7.153174562089087,2,no,yes,long,spiny,pointed,Ethiopia,8,66.35371444643022,yes,yes,no,U,1978,Egyptian Copperbelly
female,adult,mottled,amber,red,5.3703537021077254,snub,pointed,yes,rough,scaled,no,1.0152797261837805,lithe,10.720441126731883,2,no,yes,long,spiny,pointed,Libya,10,63.06195557781155,yes,yes,no,AB,1957,Egyptian Copperbelly
male,adult,bronze,red,red,3.38694317457916,snub,pointed,yes,rough,scaled,no,0.6230760967264389,lithe,7.321885509843511,2,no,yes,long,twisted,pointed,Libya,9,61.75751827561999,yes,yes,no,AB,1962,Egyptian Copperbelly
male,juvenile,gold,amber,red,1.665141014168936,snub,pointed,yes,rough,scaled,no,0.5297616869620704,lithe,3.5726412401266128,2,no,yes,long,spiny,pointed,Egypt,8,0.0,yes,yes,no,TX,2017,Egyptian Copperbelly
female,adult,copper,red,red,4.186396309467571,snub,pointed,yes,rough,scaled,no,0.8146251849038671,lithe,9.081833351231571,2,no,yes,long,spiny,pointed,Saudi Arabia,10,61.14277107199448,yes,yes,no,SR,1985,Egyptian Copperbelly
male,juvenile,gold,multicolored,red,1.5539110665876577,snub,pointed,yes,rough,scaled,no,0.4246200606883963,lithe,3.3682293479586125,2,no,yes,long,twisted,pointed,Egypt,10,63.437540939137264,yes,no,no,NK,1956,Egyptian Copperbelly
male,adult,copper,amber,red,3.7670882858734474,snub,pointed,yes,rough,scaled,no,0.6312889444144038,lithe,8.243170521477934,2,no,yes,long,spiny,pointed,Open Ocean,9,66.14329384596152,yes,yes,no,TR,2002,Egyptian Copperbelly
male,adult,brown,amber,brown,0.0,snub,pointed,yes,rough,scaled,no,1.0888286150342388,lithe,0.0,2,no,yes,long,twisted,pointed,Egypt,8,61.86168438474424,yes,no,no,OH,1983,Egyptian Copperbelly
xis,juvenile,red,multicolored,red,1.600434192940329,snub,pointed,yes,rough,scaled,no,0.3781527432147383,lithe,4.192554386110067,2,no,yes,long,spiny,pointed,Libya,8,73.16343028529849,yes,no,no,OH,1964,Egyptian Copperbelly
male,adult,gold,amber,red,2.9273517570708054,snub,pointed,yes,rough,scaled,no,0.5027741396039649,lithe,7.746604847155999,2,no,yes,long,twisted,pointed,Saudi Arabia,8,0.0,yes,yes,no,CT,2016,Egyptian Copperbelly
male,adult,red,amber,red,4.203835886128294,snub,pointed,yes,rough,scaled,no,0.5914116044803454,lithe,7.7447929841527285,2,no,yes,long,spiny,pointed,Egypt,8,59.25373485762027,yes,no,no,NR,1963,Egyptian Copperbelly
xis,juvenile,mottled,red,red,2.9278946470806586,snub,pointed,yes,rough,scaled,no,0.7827302344426266,lithe,6.963839373692972,1,no,yes,long,twisted,pointed,Egypt,9,0.0,yes,no,no,VM,2011,Egyptian Copperbelly
male,adult,gold,red,red,4.130616509240728,snub,pointed,yes,rough,scaled,no,0.6091102442160723,lithe,8.961454785486128,2,no,yes,long,spiny,pointed,Open Ocean,8,66.04202246430879,yes,yes,no,FF,1960,Egyptian Copperbelly
female,elder,bronze,red,red,7.651539306344001,snub,pointed,yes,rough,scaled,no,1.324477669958467,lithe,17.337212238035868,2,no,yes,long,spiny,pointed,Egypt,10,58.61701018337716,yes,yes,no,SX,1957,Egyptian Copperbelly
xis,adult,bronze,yellow,bronze,3.8035641538360734,snub,pointed,yes,rough,scaled,no,0.6031611224278121,lithe,8.826850316681403,2,no,yes,long,spiny,pointed,Ethiopia,8,62.21176530683282,yes,yes,no,VM,2014,Egyptian Copperbelly
xis,elder,mottled,red,mottled,5.248398588246365,snub,pointed,yes,rough,scaled,no,0.9638748627758535,lithe,13.539928472324123,2,no,yes,long,twisted,pointed,Egypt,9,52.493221130452234,yes,yes,no,WX,1969,Egyptian Copperbelly
male,juvenile,mottled,red,red,1.5223365013637284,snub,pointed,yes,rough,scaled,no,0.48614201812237734,lithe,3.852548762054141,2,no,yes,long,twisted,pointed,Egypt,9,65.06348287439484,yes,yes,no,LM,1955,Egyptian Copperbelly
female,unknown,bronze,yellow,red,0.0,snub,pointed,yes,rough,scaled,no,0.93211419236504,lithe,9.879425355017815,2,no,yes,long,spiny,pointed,Egypt,10,62.68613852857033,yes,yes,no,CT,1992,Egyptian Copperbelly
female,juvenile,bronze,yellow,red,1.9639398592626074,snub,pointed,yes,rough,scaled,no,0.5794895478068762,lithe,5.518444772775069,2,no,yes,long,twisted,pointed,Libya,10,67.33574722029364,yes,no,no,CT,2003,Egyptian Copperbelly
female,juvenile,red,red,red,2.591561737028023,snub,pointed,yes,rough,scaled,no,0.678814948627925,lithe,5.90616399550379,2,no,yes,long,spiny,pointed,Egypt,9,73.82228199876921,yes,yes,no,LM,1990,Egyptian Copperbelly
male,adult,red,amber,red,2.9953563477853566,snub,pointed,yes,rough,scaled,no,0.48251692182766753,lithe,0.0,2,no,yes,long,twisted,pointed,Morocco,8,68.50286212079483,yes,yes,no,VM,1963,Egyptian Copperbelly
male,juvenile,bronze,yellow,bronze,2.306855813438898,snub,pointed,yes,rough,scaled,no,0.6063280983507082,lithe,4.652347917355051,2,no,yes,long,spiny,pointed,Saudi Arabia,10,69.78886335228339,yes,yes,no,AB,1990,Egyptian Copperbelly
female,juvenile,red,yellow,red,1.0592262699093657,snub,pointed,yes,rough,scaled,no,0.2939953852449465,lithe,3.2810079847082356,2,no,yes,long,twisted,pointed,Morocco,9,65.32911627103097,yes,yes,no,NR,2005,Egyptian Copperbelly
male,juvenile,brown,red,red,1.9074054802176625,snub,pointed,yes,rough,scaled,no,0.5911539785984354,lithe,4.357803649805846,2,no,yes,long,twisted,pointed,Sudan,10,75.49600360079272,yes,yes,no,BR,1988,Egyptian Copperbelly
female,elder,mottled,yellow,red,6.1620223392151585,snub,pointed,yes,rough,scaled,no,1.0104917307230648,lithe,0.0,2,no,yes,long,twisted,pointed,Libya,10,53.17870396758609,yes,no,no,NR,1983,Egyptian Copperbelly
male,elder,brown,yellow,red,10.098735317810045,snub,pointed,yes,rough,scaled,no,1.5199236161554632,lithe,20.118158616033195,2,no,yes,long,twisted,pointed,Sudan,9,0.0,yes,no,no,DR,2001,Egyptian Copperbelly
female,juvenile,brown,yellow,red,3.596008537883467,snub,pointed,yes,rough,scaled,no,0.9859395343014813,lithe,8.981962732035258,2,no,yes,long,twisted,pointed,Egypt,10,71.49648896499261,yes,yes,no,NR,1972,Egyptian Copperbelly
male,adult,mottled,amber,mottled,3.571221955926256,snub,pointed,yes,rough,scaled,no,0.7288034421051703,lithe,8.603450424290989,2,no,yes,long,spiny,pointed,Libya,9,58.002236202445715,yes,yes,no,AB,1992,Egyptian Copperbelly
xis,juvenile,brown,red,brown,4.120475096394522,snub,pointed,yes,rough,scaled,no,0.9694214241491247,lithe,8.53707901333561,2,no,yes,long,twisted,pointed,Sudan,9,69.7386756294014,yes,yes,no,U,1967,Egyptian Copperbelly
male,adult,gold,red,red,3.0647485231392166,snub,pointed,yes,rough,scaled,no,0.624429619711736,lithe,6.696308539392488,2,no,yes,long,twisted,pointed,Libya,8,59.34810166167172,yes,yes,no,OH,1995,Egyptian Copperbelly
male,adult,red,red,red,4.065221508128007,snub,pointed,yes,rough,scaled,no,0.6910558850433329,lithe,8.67937457692171,2,no,yes,long,spiny,pointed,Sudan,9,56.350306558936204,yes,no,no,DR,1972,Egyptian Copperbelly
xis,elder,gold,red,red,8.026873555555985,snub,pointed,yes,rough,scaled,no,1.1751743166810467,lithe,17.50584765299095,2,no,yes,long,spiny,pointed,Sudan,8,54.021339521105425,yes,no,no,SR,2015,Egyptian Copperbelly
male,unknown,bronze,red,bronze,4.031546141196689,snub,pointed,yes,rough,scaled,no,0.8323481222892729,lithe,8.850859020454942,2,no,yes,long,spiny,pointed,Sudan,9,57.10352549978961,yes,yes,no,NR,1968,Egyptian Copperbelly
male,juvenile,mottled,amber,mottled,2.3283461979492066,snub,pointed,yes,rough,scaled,no,0.5681327341810356,lithe,5.208699951230531,2,no,yes,long,spiny,pointed,Libya,8,64.36793572478018,yes,no,no,U,1989,Egyptian Copperbelly
male,adult,mottled,red,red,3.2894734922002393,snub,pointed,yes,rough,scaled,no,0.5415743312021061,lithe,6.43093789812645,2,no,yes,long,spiny,pointed,Open Ocean,8,59.08229051590321,yes,yes,no,NR,2008,Egyptian Copperbelly
male,juvenile,red,yellow,red,2.6348930241051636,snub,pointed,yes,rough,scaled,no,0.6662350459296009,lithe,5.376269216919684,2,no,yes,long,twisted,pointed,Open Ocean,10,0.0,yes,no,no,BR,1997,Egyptian Copperbelly
male,adult,gold,red,red,3.48665730063659,snub,pointed,yes,rough,scaled,no,0.5636086657223323,lithe,7.185837154439105,2,no,yes,long,twisted,pointed,Sudan,9,62.05592849608772,yes,yes,no,KN,1990,Egyptian Copperbelly
male,juvenile,bronze,red,red,1.882208705413815,snub,pointed,yes,rough,scaled,no,0.4963057118568004,lithe,3.7872461076028907,2,no,yes,long,spiny,pointed,Sudan,9,64.97615202220594,yes,yes,no,NR,2013,Egyptian Copperbelly
male,adult,bronze,red,red,3.9560384598369023,snub,pointed,yes,rough,scaled,no,0.7094779038457295,lithe,8.447150628249364,2,no,yes,long,spiny,pointed,Egypt,9,63.73498927635116,yes,yes,no,SX,2009,Egyptian Copperbelly
xis,unknown,gold,red,red,3.414179709330973,snub,pointed,yes,rough,scaled,no,0.5389119636337938,lithe,7.347107871662888,2,no,yes,long,twisted,pointed,Morocco,9,0.0,yes,yes,no,BR,2021,Egyptian Copperbelly
male,adult,copper,yellow,red,3.6798623961725228,snub,pointed,yes,rough,scaled,no,0.5913855162364461,lithe,9.133603753536025,2,no,yes,long,twisted,pointed,Sudan,8,57.34972049672212,yes,yes,no,U,2007,Egyptian Copperbelly
female,adult,brown,yellow,red,4.3660251821558544,snub,pointed,yes,rough,scaled,no,0.7570024105209558,lithe,9.936872672756015,2,no,yes,long,spiny,pointed,Ethiopia,10,66.44067294399206,yes,yes,no,U,1968,Egyptian Copperbelly
xis,adult,brown,amber,brown,0.0,snub,pointed,yes,rough,scaled,no,0.8966060268630306,lithe,13.594908396040799,2,no,yes,long,spiny,pointed,Libya,8,67.23933151758965,yes,no,no,BB,1979,Egyptian Copperbelly
male,adult,red,yellow,red,3.813118781899372,snub,pointed,yes,rough,scaled,no,0.6381004225030206,lithe,9.255513466604105,2,no,yes,long,spiny,pointed,Egypt,9,65.1066178971793,yes,yes,no,SR,1973,Egyptian Copperbelly
male,elder,bronze,amber,bronze,8.240946311938892,snub,pointed,yes,rough,scaled,no,1.2127518846553178,lithe,0.0,2,no,yes,long,twisted,pointed,Libya,8,55.33881837776303,yes,no,no,DR,2007,Egyptian Copperbelly
male,adult,gold,amber,red,3.3844908613317664,snub,pointed,yes,rough,scaled,no,0.6726028938912862,lithe,7.6919454921838835,2,no,yes,long,twisted,pointed,Sudan,9,68.54902225919331,yes,no,no,OK,1995,Egyptian Copperbelly
male,adult,red,yellow,red,2.8717570943187916,snub,pointed,yes,rough,scaled,no,0.5686574687898411,lithe,7.478395020563969,2,no,yes,long,spiny,pointed,Egypt,8,59.05870990258461,yes,yes,no,WX,1982,Egyptian Copperbelly
male,elder,brown,amber,brown,4.777222403698031,snub,pointed,yes,rough,scaled,no,0.8473501098126062,lithe,9.845268169099626,2,no,yes,long,twisted,pointed,Morocco,8,62.98108518376752,yes,yes,no,KN,1971,Egyptian Copperbelly
female,juvenile,gold,amber,red,2.9915510090484867,snub,pointed,yes,rough,scaled,no,0.0,lithe,8.191308889419718,2,no,yes,long,twisted,pointed,Libya,10,0.0,yes,yes,no,BB,1985,Egyptian Copperbelly
female,juvenile,bronze,yellow,bronze,1.5491312349796837,snub,pointed,yes,rough,scaled,no,0.4921746918861446,lithe,0.0,2,no,yes,long,spiny,pointed,Libya,10,76.42118036317638,yes,yes,no,LM,1974,Egyptian Copperbelly
female,juvenile,brown,multicolored,brown,2.9429653943881107,snub,pointed,yes,rough,scaled,no,0.7299845910723866,lithe,0.0,2,no,yes,long,twisted,pointed,Morocco,10,74.24915694655395,yes,no,no,AB,1969,Egyptian Copperbelly
male,elder,copper,red,copper,4.846121658587389,snub,pointed,yes,rough,scaled,no,0.69381601485592,lithe,9.532425657314331,2,no,yes,long,spiny,pointed,Egypt,9,0.0,yes,yes,no,NR,1955,Egyptian Copperbelly
female,juvenile,gold,red,red,2.079086294057666,snub,pointed,yes,rough,scaled,no,0.5343330283345017,lithe,0.0,1,no,yes,long,twisted,pointed,Sudan,10,76.54953503950384,yes,no,no,U,1996,Egyptian Copperbelly
male,juvenile,bronze,amber,bronze,2.393705371003625,snub,pointed,yes,rough,scaled,no,0.7180042863435026,lithe,4.992589972336449,2,no,yes,long,spiny,pointed,Open Ocean,10,71.45171388413675,yes,yes,no,BR,1973,Egyptian Copperbelly
male,adult,copper,multicolored,red,3.792720535768248,snub,pointed,yes,rough,scaled,no,0.0,lithe,0.0,2,no,yes,long,twisted,pointed,Saudi Arabia,9,59.526596356745365,yes,yes,no,BR,2000,Egyptian Copperbelly
female,juvenile,bronze,red,bronze,3.0893887943625353,snub,pointed,yes,rough,scaled,no,0.9339263397074177,lithe,8.58213356845008,2,no,yes,long,twisted,pointed,Libya,10,72.70779555361207,yes,yes,no,SX,2005,Egyptian Copperbelly
male,adult,mottled,red,red,3.054736908906413,snub,pointed,yes,rough,scaled,no,0.5245129397777447,lithe,6.8455644225579,2,no,yes,long,twisted,pointed,Libya,8,61.618688421579925,yes,no,no,TR,1965,Egyptian Copperbelly
male,elder,gold,multicolored,gold,5.962471151465087,snub,pointed,yes,rough,scaled,no,0.8833180980793265,lithe,11.056356287606437,2,no,yes,long,spiny,pointed,Egypt,8,55.702435576433,yes,yes,no,LM,1984,Egyptian Copperbelly
male,adult,brown,yellow,red,4.174576017339787,snub,pointed,yes,rough,scaled,no,0.6801746128622843,lithe,8.408130695633144,2,no,yes,long,twisted,pointed,Egypt,9,56.433322203513804,yes,yes,no,NN,2008,Egyptian Copperbelly
male,unknown,mottled,amber,red,0.0,snub,pointed,yes,rough,scaled,no,0.6889479473770523,lithe,7.152021308134916,2,no,yes,long,twisted,pointed,Ethiopia,8,58.697635023482725,yes,no,no,TX,2017,Egyptian Copperbelly
female,juvenile,mottled,yellow,mottled,1.1177834936830833,snub,pointed,yes,rough,scaled,no,0.276432542662917,lithe,2.918310186116897,2,no,yes,long,spiny,pointed,Libya,9,72.46752313057318,yes,yes,no,OH,1986,Egyptian Copperbelly
male,juvenile,bronze,amber,red,1.1190009567692667,snub,pointed,yes,rough,scaled,no,0.3223620879177791,lithe,2.9216170291042096,2,no,yes,long,spiny,pointed,Egypt,8,63.953451844118874,yes,yes,no,TX,1980,Egyptian Copperbelly
male,juvenile,bronze,red,red,0.9789489974849721,snub,pointed,yes,rough,scaled,no,0.296823701591761,lithe,2.4315975458676347,2,no,yes,long,spiny,pointed,Ethiopia,9,64.41756738193592,yes,no,no,VM,1961,Egyptian Copperbelly
male,elder,mottled,amber,mottled,4.481829362825826,snub,pointed,yes,rough,scaled,no,0.8027055335433758,lithe,8.754605876933757,2,no,yes,long,spiny,pointed,Sudan,8,57.748110837479494,yes,yes,no,TR,2022,Egyptian Copperbelly
male,unknown,red,yellow,red,3.4041317008394523,snub,pointed,yes,rough,scaled,no,0.5462296712846608,lithe,7.150240656141636,2,no,yes,long,spiny,pointed,Egypt,10,60.028330214664216,yes,yes,no,BB,1986,Egyptian Copperbelly
male,adult,bronze,red,red,3.4374377674341265,snub,pointed,yes,rough,scaled,no,0.5783265627186517,lithe,8.140551915558497,2,no,yes,long,twisted,pointed,Sudan,9,0.0,yes,no,no,NK,2017,Egyptian Copperbelly
male,juvenile,gold,yellow,gold,1.274991700624247,snub,pointed,yes,rough,scaled,no,0.3890238616451939,lithe,3.2092712979022036,2,no,yes,long,spiny,pointed,Morocco,8,67.14200173319357,yes,yes,no,TX,1976,Egyptian Copperbelly
female,adult,red,amber,red,0.0,snub,pointed,yes,rough,scaled,no,0.7034341575938305,lithe,9.651885410263287,1,no,yes,long,spiny,pointed,Libya,10,67.32410876906455,yes,yes,no,OK,1986,Egyptian Copperbelly
female,elder,red,red,red,6.756723806224385,snub,pointed,yes,rough,scaled,no,1.2485210513291385,lithe,16.415005591835204,2,no,yes,long,spiny,pointed,Egypt,10,57.39605707988458,yes,yes,no,VM,1974,Egyptian Copperbelly
male,adult,copper,red,red,4.082927736239844,snub,pointed,yes,rough,scaled,no,0.0,lithe,8.68133850778501,2,no,yes,long,twisted,pointed,Ethiopia,9,56.98757798723844,yes,yes,no,BB,1965,Egyptian Copperbelly
male,adult,gold,red,gold,3.287677276228421,snub,pointed,yes,rough,scaled,no,0.5933975887681502,lithe,7.109970735238336,2,no,yes,long,spiny,pointed,Ethiopia,9,59.5578347270852,yes,yes,no,VM,2005,Egyptian Copperbelly
male,adult,gold,yellow,red,3.147176388718477,snub,pointed,yes,rough,scaled,no,0.6303050297750543,lithe,7.440218066337255,2,no,yes,long,twisted,pointed,Sudan,8,56.79957022525566,yes,yes,no,WX,2009,Egyptian Copperbelly
