gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
female,juvenile,black,green,black,6.75150381987104,square,curved,yes,rough,mixed,no,0.7142194329054566,stocky,11.439226065154617,4,yes,no,long,twisted,club,Open Ocean,8,30.157892523684737,no,no,,NN,1980,Hebridean Black
unknown,elder,black,yellow,black,0.0,square,curved,yes,rough,scaled,no,0.0,stocky,0.0,4,yes,no,long,curved,club,Norway,8,0.0,no,yes,,WX,1955,Hebridean Black
unknown,unknown,brown,yellow,mottled,10.000520492254154,square,curved,yes,rough,scaled,no,0.0,stocky,20.472225075441717,4,yes,no,medium,curved,club,Sweden,7,30.820496437064616,no,no,no,SR,1993,Hebridean Black
male,unknown,black,blue,black,7.791880126516148,square,curved,yes,rough,scaled,no,0.0,stocky,20.43380578716279,3,yes,no,medium,curved,club,Scotland,8,28.838693854179926,no,no,yes,FF,1985,Hebridean Black
male,elder,black,yellow,white,7.600287115080294,snub,curved,yes,rough,scaled,no,0.0,stocky,0.0,4,yes,no,medium,curved,club,Arctic,9,28.61838579358565,no,yes,,FF,1976,Hebridean Black
female,elder,blue,green,brown,6.989083292451909,snub,curved,yes,rough,scaled,no,1.4078621746735038,stocky,17.586447410120016,4,yes,no,medium,twisted,club,Scotland,8,32.881180941569276,no,yes,,U,2004,Hebridean Black
male,unknown,silver,yellow,mottled,10.51534288925571,square,curved,yes,rough,scaled,no,1.5996079012574194,stocky,21.844733697701034,4,yes,no,long,curved,club,Sweden,7,0.0,no,no,no,NN,1958,Hebridean Black
male,unknown,black,yellow,mottled,8.381061104436743,snub,curved,yes,rough,mixed,no,1.5978879290569585,stocky,20.958448358280897,4,yes,no,long,twisted,club,Ireland,8,27.99445059226642,no,yes,,NR,2023,Hebridean Black
female,elder,silver,green,white,9.067560653910133,square,curved,yes,rough,scaled,no,0.0,stocky,19.705733961427054,2,yes,no,long,twisted,club,Sweden,9,0.0,no,yes,,WX,2010,Hebridean Black
unknown,adult,silver,blue,white,3.927469681354106,snub,curved,yes,rough,scaled,no,0.6621290897899057,stocky,9.2444294427976,4,yes,no,long,twisted,club,Sweden,7,0.0,no,no,yes,NK,1960,Hebridean Black
unknown,unknown,grey,yellow,black,10.62739380043771,snub,curved,yes,rough,scaled,no,0.0,stocky,0.0,2,yes,no,long,curved,club,Scotland,8,27.533738626074477,no,yes,,SR,1994,Hebridean Black
female,adult,white,green,white,7.845285921036748,square,curved,yes,rough,scaled,no,1.3808879587812601,stocky,20.11445158247444,4,yes,no,medium,curved,club,Open Ocean,9,31.96550891197721,no,no,yes,AB,1971,Hebridean Black
male,adult,white,blue,white,0.0,square,curved,yes,rough,scaled,no,1.2253390168751674,stocky,14.801272041047554,4,yes,no,medium,curved,club,Arctic,9,34.78458299123717,no,yes,,DR,2000,Hebridean Black
female,unknown,grey,yellow,mottled,8.857433712070247,snub,curved,yes,rough,scaled,no,0.0,stocky,17.872202708376086,4,yes,no,long,curved,club,Scotland,8,40.38262800197069,no,yes,,WX,1955,Hebridean Black
female,elder,black,blue,white,0.0,square,curved,yes,rough,scaled,no,0.0,stocky,0.0,4,yes,no,long,twisted,club,Norway,7,35.78469252986045,no,yes,,BR,2012,Hebridean Black
unknown,juvenile,grey,yellow,black,7.661550989459658,square,curved,yes,rough,scaled,no,0.9979234837245976,stocky,0.0,4,yes,no,long,twisted,club,Scotland,9,34.16231089293391,no,no,,BR,2008,Hebridean Black
male,unknown,grey,blue,black,0.0,square,curved,yes,rough,scaled,no,0.0,stocky,0.0,3,yes,no,long,curved,club,Norway,9,29.89714623668274,no,no,no,OK,1976,Hebridean Black
male,unknown,white,yellow,white,10.081601513373336,square,curved,yes,rough,scaled,no,1.4206098463947396,stocky,19.875354028580492,4,yes,no,long,twisted,club,Arctic,10,37.56578188193549,no,yes,,DR,1968,Hebridean Black
male,unknown,white,yellow,white,9.328127935679374,snub,curved,yes,rough,scaled,no,1.6013438448836488,stocky,18.20000085659588,4,yes,no,long,twisted,club,Norway,10,33.5852691614432,no,no,no,LM,2011,Hebridean Black
male,unknown,black,yellow,black,9.03308596200851,square,curved,yes,rough,mixed,no,1.2127910882896675,stocky,17.85484168325272,3,yes,no,medium,curved,club,Open Ocean,10,40.05586197413589,no,no,no,TR,2000,Hebridean Black
unknown,unknown,brown,blue,black,5.909273032195471,square,curved,yes,rough,scaled,no,0.0,stocky,18.389865064827045,4,yes,no,medium,curved,club,Scotland,10,33.05709706487593,no,yes,,VM,1983,Hebridean Black
unknown,juvenile,silver,blue,white,0.0,snub,curved,no,rough,mixed,no,0.0,stocky,0.0,4,yes,no,long,curved,club,Ireland,9,40.25999501978201,no,no,,VM,2003,Hebridean Black
male,adult,black,green,white,0.0,square,curved,yes,rough,scaled,no,1.2662579501026237,stocky,15.67326611084976,4,yes,no,long,twisted,club,Scotland,7,0.0,no,yes,,AB,2022,Hebridean Black
male,elder,mottled,green,mottled,7.451289434891278,square,curved,yes,rough,scaled,no,1.2582952404330783,stocky,0.0,4,yes,no,medium,twisted,club,Arctic,8,36.682376408500986,no,no,yes,CT,1972,Hebridean Black
unknown,adult,white,yellow,white,4.809238993899607,snub,curved,yes,rough,scaled,no,0.7495722086671499,stocky,9.42709574553663,4,yes,no,long,twisted,club,Scotland,10,0.0,no,no,yes,TX,1973,Hebridean Black
male,adult,brown,yellow,white,0.0,square,curved,yes,rough,scaled,no,0.0,stocky,0.0,2,yes,no,medium,curved,club,Norway,9,29.467885465475657,no,yes,,DR,2002,Hebridean Black
female,elder,blue,blue,black,0.0,square,curved,yes,rough,mixed,no,1.3946256770694732,stocky,0.0,4,yes,no,medium,twisted,club,Britain,7,0.0,no,yes,,LM,1993,Hebridean Black
unknown,adult,mottled,yellow,mottled,8.54005030961552,square,curved,yes,rough,scaled,no,1.7527543419670077,stocky,21.993029019450667,4,yes,no,medium,curved,club,Scotland,8,27.50518534070614,no,yes,,OH,1971,Hebridean Black
male,juvenile,black,yellow,brown,6.341485157051233,square,curved,yes,rough,scaled,no,0.8811382813248442,stocky,9.984721366916895,3,yes,no,long,curved,club,Britain,10,0.0,no,no,,NN,2008,Hebridean Black
unknown,unknown,white,blue,white,9.976147874170909,snub,curved,yes,rough,scaled,no,1.3014499636978885,stocky,0.0,4,yes,no,long,twisted,club,Ireland,10,0.0,no,no,no,SR,1995,Hebridean Black
female,elder,grey,blue,black,12.763308466858131,snub,curved,yes,rough,scaled,no,1.7535758589360442,stocky,27.287776211335114,4,yes,no,medium,curved,club,Norway,9,39.91627461294543,no,yes,,OK,1995,Hebridean Black
female,adult,blue,blue,mottled,6.58381932530925,square,curved,yes,rough,scaled,no,1.023929388255878,stocky,15.806710479782403,4,yes,no,medium,twisted,club,Arctic,8,0.0,no,no,yes,TR,2009,Hebridean Black
female,adult,white,blue,white,7.724649962985681,snub,curved,yes,rough,scaled,no,0.0,stocky,15.098712596085496,4,yes,no,long,curved,club,Scotland,8,0.0,no,no,no,U,1977,Hebridean Black
unknown,unknown,grey,yellow,mottled,0.0,square,curved,yes,rough,scaled,no,1.282448959938955,stocky,19.244284828735594,4,yes,no,long,twisted,club,Norway,9,27.006177446496274,no,no,no,LM,2015,Hebridean Black
female,juvenile,white,yellow,white,7.474204086047255,square,curved,yes,rough,scaled,no,0.8690241420652816,stocky,12.880654516783475,4,yes,no,long,twisted,club,Arctic,8,40.03673612435558,no,no,,NK,1963,Hebridean Black
unknown,adult,blue,yellow,mottled,7.36763002823107,snub,curved,yes,rough,scaled,no,1.1896903837448916,stocky,15.523519000354092,4,yes,no,long,twisted,club,Scotland,8,0.0,no,no,no,SR,1971,Hebridean Black
male,adult,blue,green,black,0.0,snub,curved,yes,rough,scaled,no,0.0,stocky,16.142257829977208,3,yes,no,long,twisted,club,Sweden,7,0.0,no,yes,,SX,1964,Hebridean Black
unknown,adult,black,yellow,mottled,0.0,snub,curved,yes,rough,scaled,no,0.0,stocky,17.185360698140315,4,yes,no,medium,curved,club,Open Ocean,8,0.0,no,no,no,NK,1990,Hebridean Black
male,elder,grey,yellow,mottled,7.848554412790378,snub,curved,yes,rough,scaled,no,1.0936908058354222,stocky,17.31486578356442,4,yes,no,medium,twisted,club,Ireland,7,38.54400160900237,no,yes,,NR,1956,Hebridean Black
unknown,unknown,black,blue,black,6.2409343650148745,square,curved,no,rough,mixed,no,0.7285752950735382,stocky,12.682854949161458,4,yes,no,long,twisted,club,Open Ocean,7,38.10538448676581,no,yes,,FF,1972,Hebridean Black
female,unknown,brown,yellow,brown,8.920141772018914,square,curved,yes,rough,scaled,no,1.3630947573097811,stocky,0.0,4,yes,no,long,twisted,club,Open Ocean,8,28.77171320611839,no,no,yes,NK,1974,Hebridean Black
female,adult,grey,blue,brown,9.474455534627516,square,curved,yes,rough,scaled,no,1.3502521865270358,stocky,0.0,4,yes,no,medium,curved,club,Britain,9,33.98492542819072,no,yes,,SR,2003,Hebridean Black
female,unknown,blue,yellow,black,8.344842294257322,square,curved,yes,rough,scaled,no,0.0,stocky,16.094206432009553,3,yes,no,medium,twisted,club,Britain,8,35.29719193829102,no,yes,,DR,1996,Hebridean Black
male,unknown,black,yellow,white,7.657448829852073,snub,curved,no,rough,mixed,no,0.0,stocky,0.0,4,yes,no,long,curved,club,Scotland,10,37.811156006615114,no,yes,,AB,1957,Hebridean Black
female,elder,mottled,yellow,brown,0.0,square,curved,yes,rough,scaled,no,0.0,stocky,20.062007307151916,4,yes,no,medium,curved,club,Sweden,7,0.0,no,yes,,DR,1996,Hebridean Black
female,adult,mottled,green,brown,0.0,snub,curved,yes,rough,scaled,no,1.0941618293169793,stocky,17.642525530883198,4,yes,no,long,curved,club,Scotland,8,35.561616820165845,no,yes,,AB,1982,Hebridean Black
male,unknown,mottled,green,black,0.0,square,curved,yes,rough,scaled,no,1.5057643286575,stocky,26.327695345737048,4,yes,no,long,curved,club,Sweden,9,34.19200882688706,no,no,yes,NR,1981,Hebridean Black
female,unknown,black,blue,black,0.0,snub,curved,yes,rough,scaled,no,1.4643313625218575,stocky,23.205154697904614,4,yes,no,medium,twisted,club,Arctic,8,33.27859403790908,no,no,yes,SX,2008,Hebridean Black
unknown,elder,white,blue,white,10.276157155643485,snub,curved,yes,rough,scaled,no,1.462671329874907,stocky,0.0,2,yes,no,long,twisted,club,Sweden,10,37.865588586037006,no,yes,,U,1956,Hebridean Black
unknown,adult,white,green,white,0.0,snub,curved,yes,rough,scaled,no,1.7580091706765795,stocky,0.0,4,yes,no,long,twisted,club,Scotland,10,30.348323801097465,no,yes,,NR,1977,Hebridean Black
