gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,elder,bronze,yellow,brown,23.590520986605917,snub,curved,partial,rough,mixed,no,3.143369484272976,lithe,52.0,2,yes,no,long,pointed,pointed,Scotland,9,0.0,no,no,no,TX,1993,Hungarian Horntail
male,juvenile,mottled,amber,gold,15.37545960672202,snub,curved,yes,rough,scaled,no,2.3102889715475246,lithe,31.0,2,yes,no,long,pointed,pointed,Scotland,10,75.80795715892431,no,yes,no,AB,2016,Hungarian Horntail
unknown,adult,black,amber,brown,21.307502248240514,snub,curved,partial,rough,mixed,no,2.6000108606858294,lithe,60.0,2,yes,no,long,pointed,spiked,Hungary,9,72.97127634913194,no,yes,no,OK,1956,Hungarian Horntail
female,juvenile,mottled,yellow,gold,0.0,snub,curved,partial,rough,mixed,no,1.9730223752547844,lithe,31.0,2,yes,no,long,pointed,pointed,Ukraine,10,0.0,no,yes,no,SX,1958,Hungarian Horntail
unknown,juvenile,black,yellow,mottled,15.715679342610684,snub,curved,partial,rough,mixed,no,2.7844869456827297,lithe,38.0,2,yes,no,long,pointed,pointed,Bulgaria,10,64.52024867073189,no,yes,no,WX,1978,Hungarian Horntail
female,juvenile,bronze,multicolored,brown,0.0,snub,curved,partial,rough,mixed,no,0.0,lithe,41.0,2,yes,no,long,pointed,pointed,Hungary,10,0.0,no,yes,no,NK,1969,Hungarian Horntail
female,adult,mottled,amber,mottled,24.97142545366367,snub,curved,yes,rough,scaled,no,2.980552098633807,lithe,64.0,2,yes,no,long,pointed,spiked,Ukraine,10,0.0,no,yes,no,SR,1986,Hungarian Horntail
male,juvenile,brown,yellow,brown,12.935723137699684,snub,curved,partial,rough,mixed,no,2.138901320728429,lithe,28.0,2,yes,no,long,pointed,spiked,Romania,10,86.2272983576487,no,yes,no,TX,1983,Hungarian Horntail
male,juvenile,black,yellow,brown,10.796851204681124,snub,curved,partial,rough,mixed,no,0.0,lithe,0.0,2,yes,no,long,pointed,pointed,Romania,9,87.18449341404514,no,yes,no,SX,1968,Hungarian Horntail
female,adult,brown,multicolored,brown,26.08134121737618,snub,curved,yes,rough,scaled,no,0.0,lithe,58.0,2,yes,no,long,pointed,club,Hungary,10,72.64916662051638,no,yes,no,NR,1968,Hungarian Horntail
