gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
female,juvenile,mottled,"red,",gold,1.9043660500106177,snub,curved,yes,rough,mixed,no,0.0,lithe,4,4,yes,no,long,pointed,fluted,Ethiopia,7,55.33507588300009,yes,no,no,DR,2005,Kenyan Brushtail
female,elder,gold,yellow,gold,0.0,snub,curved,yes,rough,mixed,no,1.3522538926394199,lithe,14,4,yes,no,long,twisted,fluted,Ethiopia,6,42.04750538825112,yes,yes,no,SR,1976,Kenyan Brushtail
unknown,juvenile,mottled,"red,",brown,2.791647710911432,snub,curved,yes,rough,partially scaled,no,0.5451436639551585,lithe,6,4,yes,no,long,pointed,fluted,Open Ocean,6,47.06039212500628,yes,no,no,LM,1977,Kenyan Brushtail
male,adult,bronze,"red,",gold,4.629546452664323,snub,curved,yes,rough,mixed,no,0.7464787027800884,stocky,11,4,yes,yes,long,pointed,fluted,Kenya,6,54.188579574593206,yes,yes,no,SX,1997,Kenyan Brushtail
male,elder,gold,amber,bronze,4.758051621708509,snub,curved,yes,rough,partially scaled,no,0.9463118264169949,stocky,9,4,yes,yes,long,pointed,fluted,Open Ocean,8,52.47033908811428,yes,no,no,DR,2019,Kenyan Brushtail
male,adult,gold,amber,brown,5.066510318567691,snub,curved,yes,rough,partially scaled,no,0.7033150870271383,stocky,10,4,yes,yes,long,pointed,fluted,Open Ocean,7,0.0,yes,yes,no,CT,2011,Kenyan Brushtail
female,adult,gold,"red,",bronze,5.5938962334053075,snub,curved,yes,rough,partially scaled,no,1.084261947100092,lithe,11,4,yes,no,long,pointed,fluted,Uganda,6,53.66650882136159,yes,yes,no,KN,2017,Kenyan Brushtail
male,juvenile,mottled,yellow,bronze,2.3397938807393692,snub,curved,yes,rough,partially scaled,no,0.40661116288006366,lithe,5,4,yes,no,long,pointed,fluted,Kenya,7,66.76615403380171,yes,no,no,SX,1991,Kenyan Brushtail
female,juvenile,mottled,"red,",gold,2.5172363769940014,snub,curved,yes,rough,partially scaled,no,0.37794540707442276,lithe,5,4,yes,no,long,pointed,fluted,Uganda,8,55.07222782613463,yes,no,no,SR,2004,Kenyan Brushtail
female,adult,bronze,yellow,bronze,4.916250843864345,snub,curved,yes,rough,partially scaled,no,0.8481090352363321,lithe,11,4,yes,no,long,pointed,fluted,Kenya,6,54.76217240411071,yes,no,no,NN,2000,Kenyan Brushtail
female,elder,brown,blue,gold,6.472864130223803,snub,curved,yes,rough,partially scaled,no,1.1446448882424296,lithe,14,4,yes,no,long,pointed,fluted,Ethiopia,8,45.5547929434429,yes,no,no,DR,2012,Kenyan Brushtail
male,adult,mottled,"red,",mottled,0.0,snub,curved,yes,rough,mixed,no,0.6047934836878354,stocky,7,4,yes,yes,long,pointed,fluted,Kenya,8,55.61138352431128,yes,no,no,SX,1978,Kenyan Brushtail
female,elder,gold,amber,bronze,6.234148555467289,snub,curved,yes,rough,partially scaled,no,0.0,lithe,14,4,yes,no,long,pointed,fluted,Kenya,7,47.03159943595481,yes,yes,no,FF,1979,Kenyan Brushtail
female,elder,mottled,amber,gold,6.671882255429035,snub,curved,yes,rough,mixed,no,1.1450149687973812,lithe,14,4,yes,no,long,pointed,fluted,Kenya,8,40.57666147780438,yes,yes,no,DR,1990,Kenyan Brushtail
male,juvenile,mottled,yellow,brown,2.5732563138765943,snub,curved,yes,rough,partially scaled,no,0.31223047546273053,lithe,5,4,yes,no,long,pointed,fluted,Kenya,6,67.68127629517792,yes,no,no,VM,2014,Kenyan Brushtail
female,juvenile,pink,amber,pink,2.2508202586228006,snub,curved,yes,rough,mixed,no,0.44375565365846376,lithe,4,4,yes,no,long,pointed,fluted,Kenya,6,59.68258432020862,yes,no,no,OH,1996,Kenyan Brushtail
male,juvenile,mottled,"red,",gold,0.0,snub,curved,yes,rough,mixed,no,0.467525687598801,lithe,5,4,yes,no,long,pointed,fluted,Kenya,6,69.51000836407054,yes,no,no,VM,2000,Kenyan Brushtail
unknown,juvenile,mottled,amber,mottled,4.843483344496776,snub,curved,yes,rough,mixed,no,0.9062120226981318,lithe,9,4,yes,no,long,pointed,fluted,Ethiopia,7,48.69420795739135,yes,no,no,NK,1980,Kenyan Brushtail
male,elder,brown,"red,",mottled,4.6851300614236875,snub,curved,yes,rough,mixed,no,0.6856057600125652,stocky,9,4,yes,yes,long,twisted,fluted,Kenya,7,48.439571974162874,yes,no,no,FF,2016,Kenyan Brushtail
