gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",red,grey,4.1949924174594315,square,curved,yes,rough,mixed,no,0.0,stocky,10.11027176717295,4,yes,no,medium,pointed,club,Sweden,6,0.0,no,yes,,NN,1962,Norwegian Ridgeback
male,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",red,silver,4.669544674144658,square,curved,yes,rough,mixed,no,2.615122859164792,stocky,9.681132330787888,4,yes,no,long,pointed,club,Ireland,8,41.110272677296976,no,no,yes,CT,1974,Norwegian Ridgeback
female,juvenile,mottled,amber,grey,2.256775458715909,snub,curved,yes,rough,mixed,no,2.5897117634242903,stocky,5.479072550352703,4,yes,no,short,pointed,club,Open Ocean,10,42.178805999564766,no,yes,,SR,1980,Norwegian Ridgeback
female,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",blue,brown,10.337174938898874,square,curved,yes,rough,mixed,no,1.2972830390739094,lithe,20.93167828038932,4,yes,no,long,spiny,pointed,Arctic,7,0.0,no,yes,,KN,2018,Norwegian Ridgeback
unknown,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",blue,mottled,0.0,snub,curved,yes,rough,mixed,no,5.805812635027637,stocky,19.49318965477343,4,yes,no,long,spiny,pointed,Norway,6,40.335485569126156,no,yes,,CT,1990,Norwegian Ridgeback
female,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",red,black,10.483642667739476,snub,curved,yes,rough,mixed,no,0.0,stocky,18.116247492449666,4,yes,no,medium,pointed,pointed,Sweden,9,33.97581890120821,no,yes,,AB,2002,Norwegian Ridgeback
male,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",blue,black,5.766453820986833,snub,curved,yes,rough,mixed,no,6.163298638985384,stocky,12.870181761895237,4,yes,no,long,pointed,pointed,Sweden,6,54.54501913142949,no,yes,,WX,1962,Norwegian Ridgeback
female,elder,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",red,silver,12.636828717257217,snub,curved,yes,rough,mixed,no,11.337316208922584,lithe,23.5945288848074,4,yes,no,medium,spiny,pointed,Britain,7,41.94878121786801,no,yes,,NR,1956,Norwegian Ridgeback
male,elder,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",red,black,6.43086571007385,square,curved,yes,rough,mixed,no,0.0,lithe,18.695709249435556,4,yes,no,short,spiny,pointed,Open Ocean,7,50.81579863835011,no,no,yes,TX,1998,Norwegian Ridgeback
female,adult,"['grey', 'black', 'silver', 'brown', 'tan', 'mottled']",amber,black,0.0,snub,curved,yes,rough,mixed,no,6.560887888814884,lithe,0.0,4,yes,no,medium,spiny,pointed,Sweden,8,33.64356373618217,no,yes,,AB,2004,Norwegian Ridgeback
