gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
xis,unknown,copper,green,copper,4.876974765256559,pointed,curved,yes,smooth,mixed,yes,0.0,lithe,9.697451728109602,2,no,yes,short,pointed,fluted,Peru,5,56.39160664998061,yes,no,no,NK,1967,Peruvian Vipertooth
female,adult,gold,green,gold,3.8259958109743915,pointed,curved,yes,smooth,mixed,yes,0.5291589379294207,lithe,0.0,2,no,yes,short,pointed,fluted,Egypt,8,59.80305840927691,yes,no,no,SR,1993,Peruvian Vipertooth
xis,unknown,tan,amber,tan,0.0,pointed,curved,yes,smooth,mixed,yes,0.0,lithe,0.0,2,no,yes,short,spiny,fluted,Peru,5,51.037674869083226,yes,no,no,TX,2020,Peruvian Vipertooth
female,unknown,bronze,amber,bronze,0.0,pointed,curved,yes,smooth,mixed,yes,1.701638371512451,lithe,23.533538679962355,2,no,yes,short,pointed,fluted,Ecuador,9,0.0,yes,no,no,NR,2023,Peruvian Vipertooth
female,juvenile,red,amber,red,0.0,pointed,curved,yes,smooth,mixed,yes,0.0,lithe,0.0,2,no,yes,short,pointed,fluted,Peru,9,0.0,yes,no,no,TR,1956,Peruvian Vipertooth
male,juvenile,bronze,amber,bronze,0.0,pointed,curved,yes,smooth,mixed,yes,0.39360397941797004,lithe,0.0,2,no,yes,short,pointed,fluted,Peru,7,65.37141498556004,yes,no,no,AB,1975,Peruvian Vipertooth
female,unknown,red,yellow,red,6.783116063846935,pointed,curved,yes,smooth,mixed,yes,0.836678023152396,lithe,0.0,2,no,yes,short,pointed,fluted,Ecuador,10,0.0,yes,no,no,OK,2009,Peruvian Vipertooth
male,juvenile,red,green,red,0.0,pointed,curved,yes,smooth,mixed,yes,0.0,lithe,2.5303875772490674,2,no,yes,short,spiny,fluted,Open Ocean,7,61.53097923707212,yes,no,no,SX,1957,Peruvian Vipertooth
female,unknown,gold,amber,gold,0.0,pointed,curved,yes,smooth,mixed,yes,0.0,lithe,0.0,2,no,yes,short,pointed,fluted,Ecuador,8,0.0,yes,no,no,AB,1972,Peruvian Vipertooth
male,adult,bronze,yellow,bronze,3.5629041855368357,pointed,curved,yes,smooth,mixed,yes,0.0,lithe,8.217120377335226,2,no,yes,short,spiny,fluted,Open Ocean,8,0.0,yes,no,no,TR,2014,Peruvian Vipertooth
