gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,unknown,pink,yellow,brown,3.82516094876463,snub,pointed,yes,smooth,scaled,no,0.37676750339710463,lithe,6.971250897593675,2,no,no,short,curved,pointed,Sweden,6,79,no,no,yes,SX,1999,Swedish Short Snout
female,elder,pink,red,brown,6.1344055946766485,square,pointed,yes,smooth,scaled,no,0.9250880123072146,stocky,14.791887560065243,2,no,no,long,curved,club,Ireland,5,64,no,yes,no,TR,1990,Swedish Short Snout
male,adult,blue,amber,grey,0.0,square,pointed,yes,smooth,scaled,no,0.5094534607858753,stocky,7.5677158820689785,2,no,no,short,curved,pointed,Scotland,4,56,no,no,no,NR,1970,Swedish Short Snout
female,adult,grey,amber,brown,6.407962525050718,snub,pointed,yes,smooth,scaled,no,0.0,stocky,13.546414794544138,2,no,no,short,curved,pointed,Britain,4,52,no,no,no,SR,2023,Swedish Short Snout
female,elder,blue,orange,brown,6.128385557814473,square,pointed,yes,smooth,scaled,no,0.9714636234667504,lithe,14.593303666017324,2,no,no,medium,curved,pointed,Scotland,4,52,no,no,yes,SX,1984,Swedish Short Snout
male,adult,green,red,grey,3.424353985452699,snub,pointed,yes,smooth,scaled,no,0.5749384587658318,stocky,7.381506064563386,2,no,no,medium,curved,pointed,Ireland,5,49,no,no,yes,SR,1974,Swedish Short Snout
female,adult,white,amber,tan,0.0,snub,pointed,yes,smooth,scaled,no,0.9697547806976691,lithe,14.208716451176228,2,no,no,medium,curved,pointed,Sweden,5,57,no,no,yes,SX,1994,Swedish Short Snout
female,elder,pink,red,tan,0.0,snub,pointed,yes,smooth,scaled,no,1.0961129601013795,lithe,15.730714808872435,2,no,no,long,curved,club,Norway,3,0,no,no,yes,LM,1989,Swedish Short Snout
male,adult,mottled,amber,tan,0.0,snub,pointed,yes,smooth,scaled,no,0.7255606009931133,lithe,12.543527525105079,2,no,no,medium,curved,pointed,Scotland,4,0,no,no,yes,FF,1994,Swedish Short Snout
male,adult,white,red,grey,4.723093729880341,snub,pointed,yes,smooth,scaled,no,0.6126497112764181,lithe,10.161158874341096,2,no,no,long,curved,pointed,Sweden,5,40,no,no,yes,FF,1986,Swedish Short Snout
female,elder,mottled,yellow,tan,7.379221834035874,square,pointed,yes,smooth,scaled,no,1.1526172978419162,lithe,17.175893818684024,2,no,no,long,curved,pointed,Sweden,5,73,no,no,no,NN,1993,Swedish Short Snout
male,adult,green,orange,pink,3.9966832974832625,snub,pointed,yes,smooth,scaled,no,0.5315631282125785,stocky,10.160109096635813,2,no,no,short,curved,pointed,Britain,3,48,no,no,yes,NN,1991,Swedish Short Snout
female,elder,green,amber,blue,9.185436487704125,square,pointed,yes,smooth,scaled,no,1.071330273753231,stocky,14.876431427248098,2,no,no,long,curved,pointed,Scotland,4,37,no,no,yes,TR,2023,Swedish Short Snout
male,adult,green,amber,blue,0.0,snub,pointed,yes,smooth,scaled,no,0.6579002036493614,lithe,9.769776673829112,2,no,no,medium,curved,pointed,Norway,5,48,no,no,yes,SX,2016,Swedish Short Snout
female,adult,mottled,red,brown,4.098402289316839,square,pointed,yes,smooth,scaled,no,0.6036490207691866,lithe,0.0,2,no,no,long,curved,pointed,Open Ocean,3,67,no,no,yes,SR,1982,Swedish Short Snout
male,adult,brown,red,brown,0.0,square,pointed,yes,smooth,scaled,no,0.7391566250220936,lithe,0.0,2,no,no,medium,curved,pointed,Norway,5,43,no,no,no,LM,2002,Swedish Short Snout
male,juvenile,brown,amber,grey,4.926294038684753,square,pointed,yes,smooth,scaled,no,0.0,stocky,10.036323038096409,2,no,no,short,curved,pointed,Arctic,6,70,no,no,yes,TR,1981,Swedish Short Snout
