gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,adult,pink,blue,pink,34.61331312287133,snub,curved,yes,rough,mixed,no,4.6004020670374866,stocky,69.20027034414754,4,no,no,long,curved,spiked,Romania,3,32.57265214867855,no,no,yes,U,1991,Ukrainian Ironbelly
male,adult,black,blue,black,18.58701738740131,snub,curved,yes,rough,mixed,no,0.0,stocky,0.0,4,no,no,long,curved,spiked,Russia,3,30.591741480758568,no,no,no,TR,1999,Ukrainian Ironbelly
female,adult,mottled,green,mottled,27.411573753992457,snub,curved,yes,rough,mixed,no,0.0,stocky,59.387583775982925,4,no,no,long,curved,pointed,Romania,8,28.100083954481928,no,no,no,NR,1977,Ukrainian Ironbelly
male,juvenile,pink,blue,pink,0.0,snub,curved,yes,rough,mixed,no,0.5914679242041219,stocky,12.276805766212549,4,no,no,long,curved,pointed,Russia,4,36.555592521011356,no,no,yes,SX,1994,Ukrainian Ironbelly
male,juvenile,mottled,green,mottled,0.0,snub,curved,yes,rough,mixed,no,1.817141375011393,stocky,23.702810517725748,4,no,no,long,curved,pointed,Hungary,5,35.694595057918775,no,no,no,OH,1985,Ukrainian Ironbelly
male,adult,pink,green,pink,21.8318763616011,snub,curved,yes,rough,mixed,no,0.0,stocky,49.79197137997423,4,no,no,long,curved,spiked,Ukraine,4,30.5424091072831,no,no,yes,WX,2014,Ukrainian Ironbelly
male,adult,mottled,green,mottled,0.0,snub,curved,yes,rough,mixed,no,4.1648698710906915,stocky,0.0,4,no,no,long,curved,spiked,Ukraine,3,0.0,no,no,no,OK,2013,Ukrainian Ironbelly
male,unknown,grey,green,grey,33.09115091786448,snub,curved,yes,rough,mixed,no,4.476543405919197,stocky,73.12726881863496,4,no,no,long,curved,pointed,Russia,7,28.531992261474166,no,no,yes,BB,2006,Ukrainian Ironbelly
male,adult,black,blue,black,30.187901599997446,snub,curved,yes,rough,mixed,no,0.0,stocky,77.03912210356519,4,no,no,long,curved,spiked,Ukraine,4,32.02807778327791,no,no,no,OH,1989,Ukrainian Ironbelly
female,juvenile,black,blue,black,0.0,snub,curved,yes,rough,mixed,no,0.0,stocky,13.564892178222621,4,no,no,long,curved,pointed,Ukraine,6,32.028660606464385,no,no,no,SX,1998,Ukrainian Ironbelly
male,adult,pink,green,pink,17.726852580619386,snub,curved,yes,rough,mixed,no,0.0,stocky,40.52836463537925,4,no,no,long,curved,spiked,Ukraine,3,32.60162204666759,no,no,yes,U,1991,Ukrainian Ironbelly
male,adult,mottled,blue,mottled,17.888856355425027,snub,curved,yes,rough,mixed,no,2.503990011608435,stocky,0.0,4,no,no,long,curved,spiked,Poland,4,27.799270475019952,no,no,yes,NR,1989,Ukrainian Ironbelly
male,adult,mottled,blue,mottled,22.60102893964689,snub,curved,yes,rough,mixed,no,2.6529156738585065,stocky,0.0,4,no,no,long,curved,spiked,Romania,3,28.43916269959946,no,no,yes,LM,2023,Ukrainian Ironbelly
male,adult,black,blue,black,29.566624220089576,snub,curved,yes,rough,mixed,no,2.9597362334192567,stocky,0.0,4,no,no,long,curved,spiked,Romania,4,0.0,no,no,yes,FF,2001,Ukrainian Ironbelly
male,elder,black,green,black,43.28301691948533,snub,curved,yes,rough,mixed,no,4.543370315695922,stocky,96.74961709839755,4,no,no,long,curved,spiked,Arctic,5,24.27963192777196,no,no,yes,NN,2017,Ukrainian Ironbelly
male,adult,mottled,blue,mottled,10.646553651795273,snub,curved,yes,rough,mixed,no,1.294554555671345,stocky,23.230845903256068,4,no,no,long,curved,spiked,Arctic,5,32.49370555841054,no,no,yes,BR,2015,Ukrainian Ironbelly
unknown,elder,mottled,blue,mottled,21.001600884505805,snub,curved,yes,rough,mixed,no,2.4761210194724237,stocky,39.723453055450825,4,no,no,long,curved,pointed,Romania,6,0.0,no,no,no,U,2001,Ukrainian Ironbelly
male,adult,mottled,blue,mottled,0.0,snub,curved,yes,rough,mixed,no,2.2888101842495554,stocky,0.0,4,no,no,long,curved,spiked,Arctic,5,0.0,no,no,yes,VM,2006,Ukrainian Ironbelly
male,elder,black,blue,black,0.0,snub,curved,yes,rough,mixed,no,0.0,stocky,108.58145711171498,4,no,no,long,curved,spiked,Romania,5,26.616166224879485,no,no,yes,OK,2022,Ukrainian Ironbelly
male,adult,grey,blue,grey,0.0,snub,curved,yes,rough,mixed,no,1.259505964904757,stocky,23.629375419904896,4,no,no,long,curved,spiked,Romania,5,32.238568632761336,no,no,yes,WX,1975,Ukrainian Ironbelly
male,adult,white,green,white,0.0,snub,curved,yes,rough,mixed,no,1.6566296974121375,stocky,27.119098957841057,4,no,no,long,curved,spiked,Arctic,4,27.68176978427013,no,no,yes,U,1994,Ukrainian Ironbelly
male,adult,white,blue,white,0.0,snub,curved,yes,rough,mixed,no,2.5533764995924764,stocky,44.54975592724199,4,no,no,long,curved,spiked,Ukraine,4,28.04899005771496,no,no,yes,TR,1977,Ukrainian Ironbelly
male,juvenile,black,green,black,0.0,snub,curved,yes,rough,mixed,no,0.898032961067002,stocky,10.637589179344891,4,no,no,long,curved,pointed,Russia,3,32.392897224042095,no,no,no,OH,1994,Ukrainian Ironbelly
male,adult,grey,blue,grey,25.582257479178327,snub,curved,yes,rough,mixed,no,0.0,stocky,0.0,4,no,no,long,curved,spiked,Romania,5,27.400879063518857,no,no,yes,FF,2005,Ukrainian Ironbelly
male,juvenile,mottled,blue,mottled,14.9977673502363,snub,curved,yes,rough,mixed,no,0.0,stocky,28.888841111773296,4,no,no,long,curved,pointed,Poland,4,34.97981765874368,no,no,yes,WX,1990,Ukrainian Ironbelly
female,elder,black,green,black,34.5280204709669,snub,curved,yes,rough,mixed,no,3.7101439330458605,stocky,80.76234556979449,4,no,no,long,curved,pointed,Ukraine,7,26.65082867691908,no,no,no,SR,1990,Ukrainian Ironbelly
male,adult,grey,blue,grey,24.422206993604977,snub,curved,yes,rough,mixed,no,3.2079036753996815,stocky,55.79417332409732,4,no,no,long,curved,spiked,Russia,4,28.37573828870018,no,no,no,BB,1981,Ukrainian Ironbelly
male,elder,pink,green,pink,49.91571975085351,snub,curved,yes,rough,mixed,no,6.489855818907012,stocky,125.80138395443666,4,no,no,long,curved,spiked,Ukraine,4,23.584020677039298,no,no,yes,NK,1981,Ukrainian Ironbelly
male,adult,pink,blue,pink,22.55424345113063,snub,curved,yes,rough,mixed,no,3.502959689563285,stocky,0.0,4,no,no,long,curved,spiked,Ukraine,4,30.707046186454484,no,no,yes,SR,2014,Ukrainian Ironbelly
male,adult,white,blue,white,23.42106155185411,snub,curved,yes,rough,mixed,no,3.207988379764569,stocky,53.754528864351116,4,no,no,long,curved,spiked,Hungary,4,29.503463310787865,no,no,yes,OK,2009,Ukrainian Ironbelly
male,juvenile,grey,green,grey,12.697231581639931,snub,curved,yes,rough,mixed,no,1.4539568058417358,stocky,30.311622327623297,4,no,no,long,curved,pointed,Arctic,4,0.0,no,no,no,U,2021,Ukrainian Ironbelly
male,juvenile,black,blue,black,14.609599959994535,snub,curved,yes,rough,mixed,no,1.4815854296327864,stocky,32.29277700506698,4,no,no,long,curved,pointed,Romania,4,32.28150813099264,no,no,no,BR,1993,Ukrainian Ironbelly
male,unknown,pink,green,pink,30.02503619382018,snub,curved,yes,rough,mixed,no,0.0,stocky,66.87047455470302,4,no,no,long,curved,pointed,Hungary,6,0.0,no,no,no,BB,2008,Ukrainian Ironbelly
male,adult,white,green,white,26.55686828334244,snub,curved,yes,rough,mixed,no,3.4840225619019822,stocky,0.0,4,no,no,long,curved,spiked,Hungary,4,28.147372023481118,no,no,no,DR,1976,Ukrainian Ironbelly
male,adult,pink,green,pink,10.911767967657733,snub,curved,yes,rough,mixed,no,1.382160213615255,stocky,26.456999350164462,4,no,no,long,curved,spiked,Hungary,5,29.14332825147797,no,no,yes,OH,1997,Ukrainian Ironbelly
female,juvenile,white,green,white,8.398465167772036,snub,curved,yes,rough,mixed,no,1.5864254379344214,stocky,18.59934470723186,4,no,no,long,curved,pointed,Poland,8,35.30979964403953,no,no,no,CT,1989,Ukrainian Ironbelly
male,elder,grey,blue,grey,52.39819847860669,snub,curved,yes,rough,mixed,no,7.30421525939529,stocky,128.38969398415475,4,no,no,long,curved,spiked,Arctic,5,27.296297651459057,no,no,yes,TR,1977,Ukrainian Ironbelly
