gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,observed_by,year_observed,species
male,adult,grey,yellow,grey,15.569826549180053,long,spiked,partial,rough,partially scaled,1.5239465784035005,lithe,49.51139329977451,2,no,no,long,spiny,pointed,Romania,6,45.63324464290707,no,no,U,2020,Ukrainian Ironbelly
male,adult,grey,red,grey,15.271631662290837,long,spiked,partial,rough,partially scaled,1.9729009537245248,lithe,48.231714166043844,2,no,no,long,spiny,pointed,Romania,6,47.652647763237354,no,yes,WX,1977,Ukrainian Ironbelly
male,elder,grey,yellow,grey,58.064925100319556,long,spiked,partial,rough,partially scaled,3.7607223597564703,lithe,98.58505157226605,2,no,no,long,spiny,pointed,Ukraine,7,46.116187231736376,no,no,NN,1975,Ukrainian Ironbelly
female,adult,grey,red,grey,20.204706138387554,long,spiked,partial,rough,partially scaled,2.5407069517576573,lithe,37.005825884021185,2,no,no,long,spiny,pointed,Romania,5,45.020343523379886,no,no,KN,1979,Ukrainian Ironbelly
female,adult,grey,yellow,grey,16.16641585682725,long,spiked,partial,rough,partially scaled,2.656762898349453,lithe,35.10320922864378,2,no,no,long,spiny,pointed,Romania,6,46.124948073620146,no,yes,BR,1985,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.2644215656039135,long,spiked,partial,rough,partially scaled,0.7873758230247836,lithe,8.479445728418735,2,no,no,long,spiny,pointed,Ukraine,6,57.74723408918544,no,no,LM,1993,Ukrainian Ironbelly
female,adult,grey,red,grey,16.418595003155342,long,spiked,partial,rough,partially scaled,2.3243484708187445,lithe,37.701119702131095,2,no,no,long,spiny,pointed,Hungary,6,49.839177805330436,no,no,LM,2009,Ukrainian Ironbelly
male,elder,grey,yellow,grey,36.565789158896166,long,spiked,partial,rough,partially scaled,4.936986720333212,lithe,74.49528466278772,2,no,no,long,spiny,pointed,Romania,7,48.2178255980722,no,no,VM,1993,Ukrainian Ironbelly
male,adult,grey,red,grey,15.215850081849272,long,spiked,partial,rough,partially scaled,1.650318377383171,lithe,40.43018671268425,2,no,no,long,spiny,pointed,Romania,5,47.05706937885303,no,yes,FF,2016,Ukrainian Ironbelly
male,adult,grey,red,grey,10.436229970940852,long,spiked,partial,rough,partially scaled,1.5208264884052296,lithe,44.075776438362844,2,no,no,long,spiny,pointed,Ukraine,6,45.39048688310958,no,yes,OK,1989,Ukrainian Ironbelly
