gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,feathers_present,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,breathing_ice_observed,observed_by,year_observed,species
male,unknown,mottled,yellow,green,5.208944677513749,long,serrated,partial,rough,mixed,no,0.6949492535931331,stocky,9.953088587214125,4,yes,no,short,curved,pointed,Wales,5,44,no,no,no,CT,1984,Common Welsh Green
male,adult,brown,red,green,6.245779208769719,long,serrated,partial,rough,mixed,no,1.3280657370311741,stocky,13.210806437380906,4,no,no,short,curved,pointed,Ireland,4,48,no,yes,no,OH,2009,Common Welsh Green
female,juvenile,mottled,red,mottled,3.499088969746111,long,serrated,partial,smooth,mixed,no,0.3636167439855772,stocky,6.464728853338003,4,no,no,short,curved,pointed,Britain,7,47,no,no,no,AB,2023,Common Welsh Green
male,juvenile,mottled,red,green,2.7412461922577696,long,serrated,partial,smooth,mixed,no,0.3440386840069591,stocky,4.350743116736355,4,no,no,short,curved,pointed,Wales,7,49,no,no,no,U,1990,Common Welsh Green
male,juvenile,mottled,yellow,green,4.370893358901903,long,serrated,partial,smooth,mixed,no,0.5043669339737935,stocky,0.0,4,no,no,short,curved,pointed,Britain,6,56,no,no,no,BB,2000,Common Welsh Green
female,juvenile,mottled,yellow,mottled,5.440542958527494,long,serrated,partial,smooth,mixed,no,0.7505114955936001,stocky,9.214172771031206,4,no,no,short,curved,pointed,Wales,6,54,no,yes,no,VM,2000,Common Welsh Green
female,elder,grey,green,mottled,7.6011027093998225,long,serrated,partial,rough,mixed,no,1.7382636855068012,stocky,16.41747265552077,4,yes,no,short,curved,pointed,Wales,5,45,no,yes,no,U,2013,Common Welsh Green
male,juvenile,mottled,green,green,3.8047898820172574,long,serrated,partial,smooth,mixed,no,0.0,stocky,6.340160376265893,4,yes,no,short,curved,pointed,Scotland,6,49,no,no,no,DR,2006,Common Welsh Green
female,juvenile,mottled,yellow,mottled,4.9228018861423575,long,serrated,partial,smooth,mixed,no,0.5236167367734021,stocky,8.168501932362336,4,no,no,short,curved,pointed,Scotland,7,50,no,no,no,WX,1982,Common Welsh Green
female,adult,green,red,mottled,9.918315236070322,long,serrated,partial,rough,mixed,no,0.0,stocky,15.452028276125176,4,no,no,short,curved,pointed,Wales,6,47,no,no,no,NR,1984,Common Welsh Green
female,elder,green,red,green,8.28308595166384,long,serrated,partial,rough,mixed,no,1.6905292052674752,stocky,17.98148404192181,4,no,no,short,curved,pointed,Wales,4,49,no,no,no,KN,1996,Common Welsh Green
male,adult,mottled,red,mottled,5.351801396630254,long,serrated,partial,rough,mixed,no,1.130809599422573,stocky,8.671293906648309,4,no,no,short,curved,pointed,Wales,5,46,no,no,no,BR,2023,Common Welsh Green
male,elder,brown,multicolored,green,8.505790390490041,long,serrated,partial,rough,mixed,no,1.6088523728931516,stocky,15.547222380786636,4,no,no,short,curved,pointed,Wales,6,49,no,no,no,BB,1992,Common Welsh Green
male,adult,green,green,green,0.0,long,serrated,partial,smooth,mixed,no,1.8891037932946027,stocky,14.882812131305398,4,no,no,short,curved,pointed,Wales,4,46,no,yes,no,TX,1979,Common Welsh Green
unknown,juvenile,mottled,red,mottled,3.7368789734637087,long,serrated,partial,smooth,mixed,no,0.5122334524044725,stocky,7.141808160544185,4,yes,no,short,curved,pointed,Britain,6,50,no,no,no,U,2014,Common Welsh Green
unknown,elder,green,yellow,green,10.11722125173811,long,serrated,partial,rough,mixed,no,2.2037854322400054,stocky,21.158025322579817,4,yes,no,short,curved,pointed,Wales,5,43,no,yes,no,SR,1975,Common Welsh Green
male,adult,brown,multicolored,mottled,7.54768753217385,long,serrated,partial,rough,mixed,no,1.5158742261667235,stocky,12.296706838034378,4,no,no,short,curved,pointed,Open Ocean,6,44,no,no,no,AB,2009,Common Welsh Green
male,adult,brown,multicolored,green,5.160494385277167,long,serrated,partial,rough,mixed,no,1.0365517009063785,stocky,8.30974649459157,4,yes,no,short,curved,pointed,Open Ocean,6,44,no,no,no,KN,1988,Common Welsh Green
male,adult,grey,multicolored,green,9.480906824777987,long,serrated,partial,smooth,mixed,no,1.7792008063291147,stocky,15.130080956795775,4,yes,no,short,curved,pointed,Ireland,6,46,no,no,no,SX,2014,Common Welsh Green
male,adult,brown,red,mottled,5.415936803849663,long,serrated,partial,smooth,mixed,no,0.9465089622214544,stocky,8.551544450745713,4,no,no,short,curved,pointed,Wales,6,46,no,no,no,FF,2019,Common Welsh Green
male,adult,grey,yellow,mottled,7.08206606104533,long,serrated,partial,rough,mixed,no,1.4088675928120606,stocky,11.731001084303958,4,no,no,short,curved,pointed,Scotland,5,49,no,no,no,VM,2021,Common Welsh Green
female,adult,mottled,green,mottled,7.979474971639028,long,serrated,partial,smooth,mixed,no,1.4111521862284955,stocky,15.08810857447406,4,yes,no,short,curved,pointed,Ireland,5,43,no,no,no,BB,2003,Common Welsh Green
female,adult,mottled,yellow,green,7.735438734431295,long,serrated,partial,smooth,mixed,no,1.892808195787245,stocky,13.63245147661378,4,yes,no,short,curved,pointed,Open Ocean,4,46,no,no,no,LM,2005,Common Welsh Green
male,elder,mottled,green,mottled,8.933999334990274,long,serrated,partial,rough,mixed,no,2.230761593276603,stocky,19.065039153867513,4,no,no,short,curved,pointed,Scotland,4,46,no,no,no,AB,1979,Common Welsh Green
female,elder,grey,green,mottled,10.457765042109077,long,serrated,partial,rough,mixed,no,2.274120868538484,stocky,21.905963948529546,4,no,no,short,curved,pointed,Britain,6,48,no,no,no,NK,1992,Common Welsh Green
female,juvenile,white,yellow,white,5.693942632088167,long,serrated,partial,smooth,mixed,no,0.7344714413641611,stocky,8.603977350656685,4,no,no,short,curved,pointed,Wales,6,52,no,no,no,SR,2016,Common Welsh Green
female,juvenile,mottled,multicolored,green,4.607733422232336,long,serrated,partial,smooth,mixed,no,0.5662830498198195,stocky,8.302182772235902,4,yes,no,short,curved,pointed,Scotland,6,51,no,no,no,CT,2019,Common Welsh Green
male,adult,grey,red,green,0.0,long,serrated,partial,smooth,mixed,no,1.0053507860019664,stocky,0.0,4,yes,no,short,curved,pointed,Wales,4,46,no,no,no,TX,1984,Common Welsh Green
female,adult,brown,multicolored,green,5.742975991275326,long,serrated,partial,rough,mixed,no,1.467189546350812,stocky,11.459515282419446,4,no,no,short,curved,pointed,Britain,5,51,no,no,no,TX,2018,Common Welsh Green
female,elder,green,yellow,mottled,8.791728619829584,long,serrated,partial,rough,mixed,no,1.4880632968447904,stocky,16.523864978134885,4,no,no,short,curved,pointed,Britain,5,50,no,no,no,TR,1982,Common Welsh Green
unknown,adult,brown,red,mottled,5.6069071007406635,long,serrated,partial,rough,mixed,no,0.0,stocky,8.994230626216607,4,yes,no,short,curved,pointed,Wales,4,51,no,yes,no,OK,2000,Common Welsh Green
female,elder,mottled,yellow,mottled,9.203253031680394,long,serrated,partial,rough,mixed,no,2.34674342331157,stocky,0.0,4,no,no,short,curved,pointed,Britain,6,48,no,no,no,KN,2009,Common Welsh Green
female,elder,green,red,mottled,11.997315595971408,long,serrated,partial,rough,mixed,no,2.0928737769105834,stocky,22.564844082711303,4,no,no,short,curved,pointed,Ireland,5,49,no,no,no,U,1983,Common Welsh Green
female,elder,grey,multicolored,green,9.252071828537655,long,serrated,partial,rough,mixed,no,1.5467268056731278,stocky,18.031188605406903,4,no,no,short,curved,pointed,Wales,4,48,no,no,no,NK,1988,Common Welsh Green
male,adult,grey,yellow,green,7.379577985664467,long,serrated,partial,smooth,mixed,no,1.8897101426236969,stocky,12.938773950041814,4,yes,no,short,curved,pointed,Wales,5,45,no,yes,no,AB,2001,Common Welsh Green
male,juvenile,mottled,yellow,green,3.6820001509762927,long,serrated,partial,smooth,mixed,no,0.3935123501328194,stocky,5.398277718511388,4,yes,no,short,curved,pointed,Britain,7,49,no,no,no,SX,2017,Common Welsh Green
male,elder,green,green,mottled,9.408348887963257,long,serrated,partial,rough,mixed,no,1.772270711729183,stocky,15.997931358423187,4,no,no,short,curved,pointed,Open Ocean,4,43,no,no,no,TR,1991,Common Welsh Green
female,elder,green,yellow,mottled,0.0,long,serrated,partial,rough,mixed,no,2.3641420062672074,stocky,0.0,4,yes,no,short,curved,pointed,Wales,4,43,no,no,no,NK,2018,Common Welsh Green
male,adult,mottled,multicolored,green,9.445694471577758,long,serrated,partial,rough,mixed,no,1.902125229308475,stocky,15.933878004183725,4,yes,no,short,curved,pointed,Scotland,4,0,no,yes,no,SR,1979,Common Welsh Green
female,elder,grey,multicolored,green,8.925541255259693,long,serrated,partial,rough,mixed,no,1.4305545423437593,stocky,17.561430720167408,4,no,no,short,curved,pointed,Wales,5,46,no,no,no,KN,1986,Common Welsh Green
male,adult,brown,green,green,9.547463617003359,long,serrated,partial,smooth,mixed,no,0.0,stocky,15.092795463282005,4,no,no,short,curved,pointed,Scotland,6,0,no,no,no,OH,1979,Common Welsh Green
female,juvenile,mottled,multicolored,mottled,2.0461797385524703,long,serrated,partial,smooth,mixed,no,0.3231942981672507,stocky,3.9579955959790754,4,yes,no,short,curved,pointed,Britain,6,51,no,no,no,FF,2011,Common Welsh Green
female,adult,mottled,yellow,green,6.863250573324479,long,serrated,partial,smooth,mixed,no,1.5970235602746081,stocky,14.386660786997085,4,no,no,short,curved,pointed,Wales,4,0,no,yes,no,BB,1991,Common Welsh Green
female,elder,green,yellow,green,9.683888814846217,long,serrated,partial,rough,mixed,no,2.19377107706488,stocky,18.17747274616557,4,no,no,short,curved,pointed,Wales,6,45,no,no,no,WX,1976,Common Welsh Green
male,juvenile,mottled,red,green,3.979284811739016,long,serrated,partial,smooth,mixed,no,0.48513462604888574,stocky,8.076729135507398,4,yes,no,short,curved,pointed,Ireland,6,56,no,no,no,AB,1987,Common Welsh Green
female,adult,mottled,green,mottled,6.876445761612319,long,serrated,partial,smooth,mixed,no,1.1410783548099228,stocky,12.374795486494765,4,yes,no,short,curved,pointed,Britain,5,47,no,yes,no,VM,1998,Common Welsh Green
unknown,elder,brown,red,mottled,9.696867810643704,long,serrated,partial,rough,mixed,no,1.6128879225662425,stocky,19.823230404808008,4,no,no,short,curved,pointed,Ireland,4,50,no,no,no,CT,2007,Common Welsh Green
female,adult,green,multicolored,mottled,9.858744029077842,long,serrated,partial,smooth,mixed,no,2.2495048161075544,stocky,17.97264140732456,4,no,no,short,curved,pointed,Britain,4,44,no,yes,no,BB,2020,Common Welsh Green
male,elder,grey,multicolored,green,9.092022509298825,long,serrated,partial,rough,mixed,no,1.9029614022307706,stocky,18.05281393870956,4,no,no,short,curved,pointed,Wales,5,50,no,yes,no,AB,1977,Common Welsh Green
female,elder,brown,red,green,11.054775142356352,long,serrated,partial,rough,mixed,no,1.7137618099870902,stocky,21.672930084629765,4,yes,no,short,curved,pointed,Scotland,5,50,no,no,no,TX,1999,Common Welsh Green
female,juvenile,mottled,multicolored,mottled,4.12375818829686,long,serrated,partial,smooth,mixed,no,0.5341989575764688,stocky,7.387595308127363,4,no,no,short,curved,pointed,Wales,7,56,no,no,no,AB,2008,Common Welsh Green
female,juvenile,mottled,multicolored,mottled,2.3678958346538437,long,serrated,partial,smooth,mixed,no,0.2787782832350487,stocky,3.7554855676892562,4,no,no,short,curved,pointed,Britain,7,49,no,no,no,CT,1995,Common Welsh Green
male,juvenile,mottled,yellow,green,2.7059000390082066,long,serrated,partial,smooth,mixed,no,0.31832205416912146,stocky,5.103412699624544,4,no,no,short,curved,pointed,Britain,6,0,no,no,no,TX,1982,Common Welsh Green
female,juvenile,mottled,yellow,mottled,3.770985215752492,long,serrated,partial,smooth,mixed,no,0.5248726363914272,stocky,6.238212107607365,4,yes,no,short,curved,pointed,Scotland,6,57,no,no,no,OH,2015,Common Welsh Green
male,adult,grey,green,green,7.205405895798235,long,serrated,partial,rough,mixed,no,1.1253651294262268,stocky,13.586024795571284,4,no,no,short,curved,pointed,Scotland,4,48,no,no,no,WX,2016,Common Welsh Green
male,elder,green,green,green,9.569759854830444,long,serrated,partial,rough,mixed,no,1.751385578028692,stocky,19.198441766328607,4,no,no,short,curved,pointed,Wales,6,47,no,no,no,BB,1975,Common Welsh Green
male,elder,green,red,mottled,9.053127459280221,long,serrated,partial,rough,mixed,no,2.279477478618799,stocky,18.880065554644503,4,yes,no,short,curved,pointed,Scotland,5,45,no,no,no,FF,1990,Common Welsh Green
male,juvenile,mottled,multicolored,green,4.380707799794318,long,serrated,partial,smooth,mixed,no,0.6341924976120339,stocky,7.755933270216608,4,no,no,short,curved,pointed,Wales,6,0,no,no,no,OK,2001,Common Welsh Green
male,juvenile,mottled,multicolored,green,2.6287055943245585,long,serrated,partial,smooth,mixed,no,0.0,stocky,4.619254205837074,4,no,no,short,curved,pointed,Wales,6,0,no,no,no,FF,1994,Common Welsh Green
male,elder,grey,multicolored,mottled,9.550503122379803,long,serrated,partial,rough,mixed,no,2.004915414923168,stocky,0.0,4,no,no,short,curved,pointed,Ireland,4,43,no,no,no,NN,1987,Common Welsh Green
female,adult,brown,red,mottled,9.766309039015422,long,serrated,partial,rough,mixed,no,1.977779204841689,stocky,18.43082988913965,4,no,no,short,curved,pointed,Ireland,6,44,no,no,no,TX,2011,Common Welsh Green
unknown,elder,mottled,yellow,green,10.30373092055452,long,serrated,partial,rough,mixed,no,2.3686190195845978,stocky,21.136475702665045,4,no,no,short,curved,pointed,Britain,5,44,no,no,no,U,2010,Common Welsh Green
male,juvenile,mottled,red,green,2.1268363704193987,long,serrated,partial,smooth,mixed,no,0.25126888458431373,stocky,4.46013399121467,4,yes,no,short,curved,pointed,Ireland,6,56,no,no,no,CT,1991,Common Welsh Green
female,adult,mottled,multicolored,green,6.809762949678592,long,serrated,partial,smooth,mixed,no,0.0,stocky,13.801858676551896,4,no,no,short,curved,pointed,Ireland,6,43,no,no,no,NR,1995,Common Welsh Green
female,elder,grey,multicolored,mottled,11.511435404776408,long,serrated,partial,rough,mixed,no,1.6343704776773564,stocky,20.56858711403087,4,no,no,short,curved,pointed,Scotland,6,47,no,yes,no,FF,2014,Common Welsh Green
male,adult,brown,yellow,mottled,8.71008856644076,long,serrated,partial,rough,mixed,no,0.0,stocky,15.09355298364718,4,yes,no,short,curved,pointed,Open Ocean,4,42,no,yes,no,SX,1996,Common Welsh Green
female,juvenile,mottled,red,mottled,2.8647387706782426,long,serrated,partial,smooth,mixed,no,0.37690199238210104,stocky,4.222838203680102,4,no,no,short,curved,pointed,Wales,7,51,no,no,no,TX,2016,Common Welsh Green
female,unknown,green,red,mottled,6.564007186174006,long,serrated,partial,rough,mixed,no,0.8232559825870722,stocky,13.070893591803483,4,no,no,short,curved,pointed,Open Ocean,5,46,no,no,no,U,1984,Common Welsh Green
male,adult,brown,yellow,mottled,10.576816772787767,long,serrated,partial,rough,mixed,no,1.6921891998351644,stocky,18.878033690091456,4,no,no,short,curved,pointed,Britain,4,50,no,no,no,KN,1982,Common Welsh Green
male,adult,brown,green,mottled,5.101477003992699,long,serrated,partial,smooth,mixed,no,1.374878390494628,stocky,9.151964588028557,4,yes,no,short,curved,pointed,Britain,4,44,no,no,no,BR,1986,Common Welsh Green
